WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.782747042000040 52.324596233000079)",Unfall 1 (2024) Kat:2, Licht: 2,1,2,7,0,02,21,6,,2,1,0,0,0
"POINT (9.733740003000037 52.384536526000034)",Unfall 2 (2024) Kat:3, Licht: 2,2,3,3,5,02,18,6,,2,1,1,0,0
"POINT (9.578465764000043 52.418575523000072)",Unfall 3 (2024) Kat:3, Licht: 0,3,3,7,0,01,15,3,,0,1,0,0,0
"POINT (9.476214858000048 52.503741315000070)",Unfall 4 (2024) Kat:3, Licht: 1,4,3,2,2,01,07,2,,1,1,1,0,0
"POINT (9.967225186000064 52.366976407000038)",Unfall 5 (2024) Kat:3, Licht: 0,5,3,3,5,01,15,2,,0,1,1,0,0
"POINT (9.735216139000045 52.405682409000065)",Unfall 6 (2024) Kat:3, Licht: 2,6,3,3,5,01,20,7,,2,1,1,0,0
"POINT (9.855979818000037 52.388868358000082)",Unfall 7 (2024) Kat:3, Licht: 0,7,3,3,5,01,10,7,,0,1,1,0,0
"POINT (9.787953232000064 52.318386507000071)",Unfall 8 (2024) Kat:3, Licht: 0,8,3,2,3,01,13,6,,0,1,1,0,0
"POINT (9.743897643000025 52.367927958000053)",Unfall 9 (2024) Kat:3, Licht: 0,9,3,2,0,01,12,4,,0,1,1,0,0
"POINT (9.863716983000074 52.374751641000046)",Unfall 10 (2024) Kat:3, Licht: 2,10,3,7,7,01,05,4,,2,1,0,0,0
"POINT (9.740712972000040 52.542103923000070)",Unfall 11 (2024) Kat:3, Licht: 0,11,3,3,5,01,08,4,,0,1,1,0,0
"POINT (9.754968043000076 52.354426824000029)",Unfall 12 (2024) Kat:3, Licht: 1,12,3,7,0,01,16,2,,1,1,0,0,0
"POINT (9.730160770000055 52.368701382000040)",Unfall 13 (2024) Kat:3, Licht: 2,13,3,3,5,01,07,5,,2,1,1,0,0
"POINT (9.785337762000040 52.335294234000060)",Unfall 14 (2024) Kat:3, Licht: 2,14,3,6,4,01,07,5,,2,1,0,0,0
"POINT (9.805540848000021 52.408208362000039)",Unfall 15 (2024) Kat:3, Licht: 0,15,3,2,5,01,16,4,,0,1,1,0,0
"POINT (9.735855091000076 52.399240766000048)",Unfall 16 (2024) Kat:3, Licht: 0,16,3,2,3,01,10,6,,0,1,1,0,0
"POINT (9.964188707000062 52.315821095000047)",Unfall 17 (2024) Kat:3, Licht: 0,17,3,3,5,01,16,6,,0,1,1,0,0
"POINT (9.594710914000075 52.395324374000040)",Unfall 18 (2024) Kat:2, Licht: 0,18,2,7,8,01,15,3,,0,1,1,0,0
"POINT (9.446341919000076 52.416738018000046)",Unfall 19 (2024) Kat:3, Licht: 2,19,3,3,5,01,18,2,,2,1,1,0,0
"POINT (9.702010759000075 52.364174291000040)",Unfall 20 (2024) Kat:3, Licht: 0,20,3,2,5,01,16,2,,0,1,1,0,0
"POINT (9.639647596000032 52.413701668000044)",Unfall 21 (2024) Kat:3, Licht: 2,21,3,6,4,01,18,5,,2,1,0,0,0
"POINT (9.707824186000039 52.423694999000077)",Unfall 22 (2024) Kat:3, Licht: 0,22,3,3,5,01,15,4,,0,1,1,0,0
"POINT (9.722486306000064 52.368484048000028)",Unfall 23 (2024) Kat:3, Licht: 2,23,3,3,5,01,16,4,,2,1,0,0,0
"POINT (9.733982375000039 52.438383925000039)",Unfall 24 (2024) Kat:3, Licht: 2,24,3,2,5,01,18,3,,2,1,1,0,0
"POINT (9.863441984000076 52.489248352000061)",Unfall 25 (2024) Kat:3, Licht: 0,25,3,1,9,01,10,3,,0,1,0,0,0
"POINT (9.963906375000022 52.312689414000033)",Unfall 26 (2024) Kat:3, Licht: 2,26,3,2,5,01,06,6,,2,1,1,0,0
"POINT (9.573692111000071 52.423501035000072)",Unfall 27 (2024) Kat:2, Licht: 0,27,2,2,5,01,15,5,,0,1,1,0,0
"POINT (9.727219476000073 52.439053502000036)",Unfall 28 (2024) Kat:3, Licht: 0,28,3,3,5,01,13,3,,0,1,1,0,0
"POINT (9.722379861000036 52.378530096000077)",Unfall 29 (2024) Kat:3, Licht: 2,29,3,2,5,01,17,3,,2,1,1,0,0
"POINT (9.667577386000062 52.341062615000055)",Unfall 30 (2024) Kat:3, Licht: 0,30,3,3,5,03,17,4,,0,1,1,0,0
"POINT (9.725245012000073 52.563585628000055)",Unfall 31 (2024) Kat:3, Licht: 0,31,3,3,0,03,13,2,,0,1,1,0,0
"POINT (9.596115926000039 52.374448932000064)",Unfall 32 (2024) Kat:3, Licht: 0,32,3,1,0,03,16,7,,0,1,0,0,0
"POINT (9.711782947000074 52.405064479000032)",Unfall 33 (2024) Kat:3, Licht: 0,33,3,3,5,03,10,5,,0,1,1,0,0
"POINT (9.726791393000042 52.375713104000056)",Unfall 34 (2024) Kat:3, Licht: 0,34,3,3,5,03,14,5,,0,1,1,0,0
"POINT (9.716841887000044 52.366967777000070)",Unfall 35 (2024) Kat:3, Licht: 0,35,3,7,0,03,17,5,,0,1,0,0,0
"POINT (10.017694642000038 52.426610635000031)",Unfall 36 (2024) Kat:3, Licht: 2,36,3,6,3,03,21,5,,2,1,1,0,0
"POINT (9.689368574000071 52.377967817000069)",Unfall 37 (2024) Kat:2, Licht: 0,37,2,6,3,03,13,5,,0,1,0,0,0
"POINT (9.776615485000036 52.332852659000082)",Unfall 38 (2024) Kat:2, Licht: 0,38,2,2,5,03,16,5,,0,1,0,0,0
"POINT (9.448798182000075 52.416382213000077)",Unfall 39 (2024) Kat:3, Licht: 0,39,3,2,5,03,12,4,,0,1,1,0,0
"POINT (9.944603081000025 52.333783133000054)",Unfall 40 (2024) Kat:2, Licht: 0,40,2,3,5,03,15,4,,0,1,1,0,0
"POINT (9.733432183000048 52.417402541000058)",Unfall 41 (2024) Kat:3, Licht: 0,41,3,2,5,03,08,4,,0,1,1,0,0
"POINT (9.734051492000049 52.415437438000026)",Unfall 42 (2024) Kat:2, Licht: 0,42,2,3,5,03,15,3,,0,1,1,0,0
"POINT (9.734534293000024 52.411724090000064)",Unfall 43 (2024) Kat:3, Licht: 0,43,3,2,5,03,08,3,,0,1,1,0,0
"POINT (9.436944015000051 52.504389286000048)",Unfall 44 (2024) Kat:3, Licht: 0,44,3,3,5,03,12,1,,0,1,1,0,0
"POINT (10.117460549000043 52.375231152000026)",Unfall 45 (2024) Kat:3, Licht: 0,45,3,7,0,03,16,1,,0,1,0,0,0
"POINT (9.980656289000024 52.374710353000069)",Unfall 46 (2024) Kat:3, Licht: 2,46,3,3,5,02,19,5,,2,1,1,0,0
"POINT (9.799720765000075 52.408286299000054)",Unfall 47 (2024) Kat:3, Licht: 0,47,3,3,5,02,15,4,,0,1,1,0,0
"POINT (9.751124697000023 52.359319775000074)",Unfall 48 (2024) Kat:3, Licht: 0,48,3,2,3,02,14,7,,0,1,1,0,0
"POINT (9.740333408000026 52.368051415000082)",Unfall 49 (2024) Kat:3, Licht: 0,49,3,2,5,02,12,6,,0,1,1,0,0
"POINT (9.733491229000037 52.384519918000080)",Unfall 50 (2024) Kat:3, Licht: 0,50,3,6,4,02,15,5,,0,1,0,0,0
"POINT (9.665393230000063 52.317395831000056)",Unfall 51 (2024) Kat:3, Licht: 0,51,3,3,5,02,16,5,,0,1,1,0,0
"POINT (9.457059654000034 52.501552048000065)",Unfall 52 (2024) Kat:3, Licht: 2,52,3,1,0,02,21,5,,2,1,0,0,0
"POINT (9.846370539000077 52.426590823000026)",Unfall 53 (2024) Kat:3, Licht: 0,53,3,3,5,02,07,5,,0,1,0,0,0
"POINT (10.233062720000021 52.433655845000033)",Unfall 54 (2024) Kat:3, Licht: 0,54,3,4,6,02,09,3,,0,1,0,1,0
"POINT (9.854789311000047 52.390247091000049)",Unfall 55 (2024) Kat:3, Licht: 0,55,3,3,5,02,07,2,,0,1,1,0,0
"POINT (9.728262322000035 52.292802885000071)",Unfall 56 (2024) Kat:3, Licht: 1,56,3,2,5,02,07,2,,1,1,1,0,0
"POINT (9.613542790000054 52.392190963000075)",Unfall 57 (2024) Kat:3, Licht: 0,57,3,3,5,02,16,7,,0,1,1,0,0
"POINT (9.429825281000035 52.426613634000034)",Unfall 58 (2024) Kat:3, Licht: 0,58,3,7,0,03,11,7,,0,1,0,0,0
