WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.928983531000000 48.378541757999997)",Unfall 60696 (2016) Kat:3, Licht: 2,60696,3,1,9,01,23,7,,2,0,1,0,0,0,0
"POINT (10.907456184999999 48.337369142999997)",Unfall 61025 (2016) Kat:3, Licht: 0,61025,3,1,0,01,16,4,,0,1,0,0,0,0,0
"POINT (10.848627655000000 48.374463755000001)",Unfall 61063 (2016) Kat:3, Licht: 0,61063,3,6,1,01,11,5,,0,0,1,0,0,0,1
"POINT (10.914332341000000 48.375048208999999)",Unfall 61083 (2016) Kat:3, Licht: 0,61083,3,3,2,01,10,3,,0,0,1,0,0,0,0
"POINT (10.954424449999999 48.344327657000001)",Unfall 61125 (2016) Kat:3, Licht: 0,61125,3,2,2,01,12,5,,0,0,1,0,0,0,0
"POINT (10.910717958999999 48.357482189999999)",Unfall 61172 (2016) Kat:3, Licht: 2,61172,3,6,2,01,18,2,,2,0,1,0,0,0,0
"POINT (10.940640989000000 48.355024616999998)",Unfall 61182 (2016) Kat:3, Licht: 2,61182,3,6,2,01,18,2,,2,0,1,0,0,0,0
"POINT (10.907282511000000 48.385740667999997)",Unfall 61183 (2016) Kat:3, Licht: 0,61183,3,2,4,01,14,5,,0,0,1,0,0,0,0
"POINT (10.907238368000000 48.311452592999999)",Unfall 61200 (2016) Kat:3, Licht: 2,61200,3,2,4,01,22,3,,2,0,1,0,0,0,0
"POINT (10.885491387000000 48.385699121000002)",Unfall 61238 (2016) Kat:3, Licht: 2,61238,3,2,4,01,17,5,,2,0,1,0,0,0,0
"POINT (10.952945799000000 48.352306020999997)",Unfall 61298 (2016) Kat:2, Licht: 1,61298,2,4,6,01,20,2,,1,0,1,1,0,0,0
"POINT (10.949788569000001 48.355192957000000)",Unfall 61299 (2016) Kat:3, Licht: 0,61299,3,6,1,01,09,5,,0,0,1,0,0,0,0
"POINT (10.855600627999999 48.373544002999999)",Unfall 61367 (2016) Kat:3, Licht: 2,61367,3,6,2,01,17,2,,2,0,1,0,0,0,0
"POINT (10.920175952999999 48.412815952999999)",Unfall 61619 (2016) Kat:2, Licht: 0,61619,2,6,2,01,17,3,,0,0,1,0,0,1,0
"POINT (10.928562270000000 48.375687249999999)",Unfall 61808 (2016) Kat:3, Licht: 2,61808,3,3,5,01,17,5,,2,1,1,0,0,0,0
"POINT (10.920418247000001 48.405479903000000)",Unfall 61857 (2016) Kat:3, Licht: 2,61857,3,6,2,01,17,7,,2,0,1,0,0,0,0
"POINT (10.907178147000000 48.339201070000001)",Unfall 61899 (2016) Kat:3, Licht: 0,61899,3,6,2,01,14,5,,0,0,1,0,0,0,0
"POINT (10.936546852999999 48.388638268000001)",Unfall 62080 (2016) Kat:3, Licht: 0,62080,3,6,2,01,15,4,,0,0,1,0,0,0,0
"POINT (10.926224908000000 48.373331729999997)",Unfall 62205 (2016) Kat:3, Licht: 0,62205,3,6,3,01,10,4,,0,0,1,0,0,1,0
"POINT (10.849933856000000 48.379683966000002)",Unfall 62277 (2016) Kat:3, Licht: 0,62277,3,2,6,01,14,2,,0,0,1,1,0,0,0
"POINT (10.903330485000000 48.337432845000002)",Unfall 62409 (2016) Kat:3, Licht: 2,62409,3,6,2,01,18,5,,2,0,1,0,0,0,0
"POINT (10.888702067000001 48.335908603000000)",Unfall 62525 (2016) Kat:3, Licht: 0,62525,3,6,2,01,10,3,,0,0,1,0,0,0,0
"POINT (10.928841287999999 48.378971350999997)",Unfall 62640 (2016) Kat:3, Licht: 0,62640,3,7,0,01,14,4,,0,1,0,0,0,0,0
"POINT (10.883782063000000 48.385747621000000)",Unfall 62705 (2016) Kat:3, Licht: 0,62705,3,3,5,01,09,6,,0,1,1,0,0,0,0
"POINT (10.855611438000000 48.373542843999999)",Unfall 62813 (2016) Kat:3, Licht: 2,62813,3,4,6,01,22,7,,2,0,1,1,0,0,0
"POINT (10.948972359000001 48.355151368999998)",Unfall 62900 (2016) Kat:2, Licht: 0,62900,2,4,6,02,13,2,,0,0,1,1,0,0,0
"POINT (10.945902016000000 48.355070441000002)",Unfall 62989 (2016) Kat:3, Licht: 0,62989,3,6,2,02,13,5,,0,0,1,0,0,0,0
"POINT (10.902001191000000 48.412912953999999)",Unfall 63135 (2016) Kat:3, Licht: 2,63135,3,6,0,02,17,4,,2,0,1,0,0,1,0
"POINT (10.902387164000000 48.381845963000004)",Unfall 63212 (2016) Kat:3, Licht: 2,63212,3,3,5,02,20,3,,2,0,1,0,0,0,0
