WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (13.475017801000035 52.513596807000056)",Unfall 112695 (2018) Kat:3, Licht: 0,112695,3,4,6,01,15,4,1,0,0,1,1,0
"POINT (13.291022054000052 52.587259064000079)",Unfall 112705 (2018) Kat:3, Licht: 0,112705,3,6,2,01,11,2,0,0,0,1,0,0
"POINT (13.420578183000032 52.526018544000067)",Unfall 112726 (2018) Kat:3, Licht: 0,112726,3,4,6,01,09,3,0,0,0,1,1,0
"POINT (13.348287758000026 52.481844469000066)",Unfall 112737 (2018) Kat:3, Licht: 2,112737,3,7,6,01,17,2,0,2,0,1,1,0
"POINT (13.403227970000046 52.583471536000047)",Unfall 112747 (2018) Kat:3, Licht: 1,112747,3,7,6,01,15,4,1,1,1,0,1,0
"POINT (13.548446563000027 52.551094598000077)",Unfall 112770 (2018) Kat:2, Licht: 2,112770,2,6,2,01,05,2,0,2,0,1,0,0
"POINT (13.256390430000067 52.485715411000058)",Unfall 112792 (2018) Kat:3, Licht: 2,112792,3,6,2,01,17,2,1,2,0,1,0,0
"POINT (13.427251818000059 52.633822608000060)",Unfall 112805 (2018) Kat:3, Licht: 2,112805,3,6,2,01,16,5,1,2,0,1,0,0
"POINT (13.411429384000030 52.518932989000064)",Unfall 112820 (2018) Kat:3, Licht: 0,112820,3,4,6,01,14,2,0,0,0,1,1,0
"POINT (13.350204749000056 52.573889050000048)",Unfall 112837 (2018) Kat:3, Licht: 2,112837,3,1,0,01,21,7,1,2,0,0,0,1
"POINT (13.418427475000044 52.523602870000047)",Unfall 112848 (2018) Kat:3, Licht: 2,112848,3,6,2,01,17,3,1,2,0,1,0,0
"POINT (13.377730113000041 52.470102586000053)",Unfall 112862 (2018) Kat:3, Licht: 2,112862,3,6,2,01,16,4,1,2,0,1,0,0
"POINT (13.432186282000032 52.535255261000032)",Unfall 112892 (2018) Kat:3, Licht: 0,112892,3,2,5,01,11,5,1,0,1,1,0,0
"POINT (13.470896587000027 52.514173125000070)",Unfall 112902 (2018) Kat:3, Licht: 0,112902,3,2,5,01,08,2,0,0,1,1,0,0
"POINT (13.394673449000038 52.510848452000062)",Unfall 112921 (2018) Kat:3, Licht: 2,112921,3,7,5,01,19,4,1,2,1,1,0,0
"POINT (13.444588314000043 52.545602850000080)",Unfall 112937 (2018) Kat:3, Licht: 2,112937,3,2,5,01,06,5,0,2,0,1,0,0
"POINT (13.506372166000062 52.458992962000082)",Unfall 112947 (2018) Kat:2, Licht: 2,112947,2,3,5,01,18,4,1,2,1,1,0,0
"POINT (13.178150561000052 52.516092067000045)",Unfall 112957 (2018) Kat:3, Licht: 0,112957,3,3,5,01,15,1,0,0,0,1,0,0
"POINT (13.377436149000062 52.470118613000068)",Unfall 112980 (2018) Kat:3, Licht: 0,112980,3,6,3,01,13,3,0,0,0,1,0,0
"POINT (13.448554441000056 52.504955330000030)",Unfall 112992 (2018) Kat:3, Licht: 0,112992,3,4,6,01,11,7,0,0,1,0,1,0
"POINT (13.373030297000071 52.515912803000049)",Unfall 113009 (2018) Kat:3, Licht: 0,113009,3,3,5,01,08,3,1,0,1,1,0,0
"POINT (13.284104022000065 52.597047200000077)",Unfall 113020 (2018) Kat:3, Licht: 1,113020,3,7,0,01,07,6,1,1,0,0,0,1
"POINT (13.379242325000064 52.436302056000045)",Unfall 113046 (2018) Kat:3, Licht: 0,113046,3,3,0,01,15,2,0,0,0,1,0,0
"POINT (13.412477782000053 52.540973183000062)",Unfall 113058 (2018) Kat:3, Licht: 0,113058,3,2,6,01,10,5,1,0,0,0,1,0
"POINT (13.429987925000034 52.553675473000055)",Unfall 113087 (2018) Kat:3, Licht: 0,113087,3,5,1,01,09,4,1,0,0,1,0,0
"POINT (13.384495618000074 52.453129976000071)",Unfall 113110 (2018) Kat:2, Licht: 2,113110,2,6,2,01,00,1,0,2,0,1,0,0
"POINT (13.413642442000025 52.548134734000030)",Unfall 113121 (2018) Kat:3, Licht: 0,113121,3,6,0,01,14,4,1,0,0,0,0,1
"POINT (13.418577063000043 52.523739700000078)",Unfall 113151 (2018) Kat:2, Licht: 2,113151,2,6,2,01,17,4,1,2,0,1,0,0
"POINT (13.368335440000067 52.541111075000060)",Unfall 113164 (2018) Kat:3, Licht: 2,113164,3,6,2,01,22,6,0,2,0,1,0,0
"POINT (13.411620644000038 52.518936451000059)",Unfall 113175 (2018) Kat:3, Licht: 0,113175,3,6,2,01,09,3,0,0,0,1,0,0
