WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.216968807000058 51.485556453000072)",Unfall 95937 (2019) Kat:3, Licht: 2,95937,3,7,6,01,02,3,1,2,0,1,1,0,0,0
"POINT (7.194538331000047 51.446931628000073)",Unfall 96017 (2019) Kat:3, Licht: 0,96017,3,6,2,01,11,4,1,0,0,1,0,0,0,0
"POINT (7.131553068000073 51.464403388000051)",Unfall 96019 (2019) Kat:3, Licht: 1,96019,3,6,2,01,17,4,0,1,0,1,0,0,0,0
"POINT (7.145064437000031 51.471852678000062)",Unfall 96050 (2019) Kat:3, Licht: 0,96050,3,3,5,01,09,1,1,0,0,1,0,0,0,0
"POINT (7.221508718000052 51.487201506000076)",Unfall 96121 (2019) Kat:3, Licht: 2,96121,3,1,9,01,06,7,1,2,0,1,0,0,0,0
"POINT (7.226628376000065 51.446821782000029)",Unfall 96200 (2019) Kat:3, Licht: 2,96200,3,2,6,01,18,6,1,2,0,1,1,0,0,0
"POINT (7.134836276000044 51.484862464000059)",Unfall 96201 (2019) Kat:3, Licht: 2,96201,3,2,6,01,17,6,1,2,0,1,1,0,0,0
"POINT (7.335754537000071 51.459391084000060)",Unfall 96281 (2019) Kat:3, Licht: 2,96281,3,1,0,01,18,5,1,2,0,0,0,1,0,0
"POINT (7.190155443000037 51.506298717000050)",Unfall 96339 (2019) Kat:3, Licht: 0,96339,3,7,0,01,15,4,0,0,1,0,0,0,0,0
"POINT (7.220725474000062 51.460853683000039)",Unfall 96340 (2019) Kat:3, Licht: 0,96340,3,1,0,01,11,4,1,0,0,0,0,1,0,0
"POINT (7.276214483000047 51.491393515000027)",Unfall 96350 (2019) Kat:3, Licht: 2,96350,3,6,2,01,17,4,0,2,0,1,0,0,0,0
"POINT (7.198312152000028 51.496571422000045)",Unfall 96351 (2019) Kat:3, Licht: 0,96351,3,6,2,01,13,4,1,0,0,1,0,0,0,0
"POINT (7.260613826000054 51.447450760000038)",Unfall 96440 (2019) Kat:3, Licht: 1,96440,3,6,2,01,16,3,1,1,0,1,0,0,0,0
"POINT (7.226814486000023 51.446218936000037)",Unfall 96557 (2019) Kat:3, Licht: 2,96557,3,6,3,01,07,2,1,2,0,1,0,0,1,0
"POINT (7.274644450000039 51.499258669000028)",Unfall 96720 (2019) Kat:3, Licht: 2,96720,3,4,6,01,17,6,1,2,0,1,1,0,0,0
"POINT (7.145067623000045 51.471892881000031)",Unfall 96806 (2019) Kat:3, Licht: 2,96806,3,2,5,01,07,5,0,2,0,1,0,0,0,0
"POINT (7.179724455000041 51.454874146000066)",Unfall 96807 (2019) Kat:3, Licht: 2,96807,3,1,8,01,07,5,0,2,0,1,0,0,0,0
