WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.169884893000074 50.676522779000038)",Unfall 95846 (2019) Kat:2, Licht: 2,95846,2,2,6,01,19,3,1,2,0,1,1,0
"POINT (7.119731826000020 50.751442650000058)",Unfall 95950 (2019) Kat:3, Licht: 2,95950,3,2,5,01,18,3,1,2,0,1,0,0
"POINT (7.075976514000047 50.740325162000033)",Unfall 96152 (2019) Kat:3, Licht: 0,96152,3,6,2,01,11,6,1,0,0,1,0,0
"POINT (7.158461677000048 50.753039124000054)",Unfall 96242 (2019) Kat:3, Licht: 0,96242,3,6,2,01,12,5,1,0,0,1,0,0
"POINT (7.074318161000065 50.733250424000062)",Unfall 96282 (2019) Kat:2, Licht: 2,96282,2,6,1,01,20,5,0,2,0,1,0,0
"POINT (7.153166954000028 50.686565877000078)",Unfall 96303 (2019) Kat:3, Licht: 2,96303,3,6,2,01,22,4,0,2,0,1,0,0
"POINT (7.075976514000047 50.740325162000033)",Unfall 96496 (2019) Kat:3, Licht: 0,96496,3,3,5,01,15,2,1,0,1,0,0,0
"POINT (7.044880470000067 50.755461373000060)",Unfall 96559 (2019) Kat:2, Licht: 0,96559,2,6,2,01,07,2,0,0,0,1,0,0
"POINT (7.056745955000054 50.762703703000057)",Unfall 96591 (2019) Kat:3, Licht: 0,96591,3,3,5,01,14,1,1,0,0,1,0,0
"POINT (7.156993581000052 50.752715748000071)",Unfall 96647 (2019) Kat:3, Licht: 0,96647,3,6,2,01,11,6,1,0,0,1,0,0
"POINT (7.157033057000035 50.752722965000032)",Unfall 96648 (2019) Kat:3, Licht: 2,96648,3,1,7,01,01,6,1,2,0,1,0,0
"POINT (7.077692346000049 50.729610239000067)",Unfall 96650 (2019) Kat:3, Licht: 0,96650,3,3,5,01,11,6,1,0,0,1,0,0
