WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.453052975000048 52.315035978000026)",Unfall 9213 (2017) Kat:3, Licht: 0,9213,3,3,5,01,11,3,1,0,1,0,0,0,,1
"POINT (10.525841278000030 52.198036411000032)",Unfall 9444 (2017) Kat:3, Licht: 2,9444,3,7,0,01,03,6,1,2,0,1,0,0,,0
"POINT (10.512911060000022 52.315285604000053)",Unfall 9640 (2017) Kat:3, Licht: 1,9640,3,6,2,01,07,2,1,1,0,1,0,0,,1
"POINT (10.523501504000023 52.275191285000062)",Unfall 9703 (2017) Kat:3, Licht: 2,9703,3,6,2,01,18,7,2,2,0,1,0,0,,0
"POINT (10.532150040000033 52.346335827000075)",Unfall 10213 (2017) Kat:3, Licht: 0,10213,3,6,2,01,10,5,0,0,0,1,0,0,,0
"POINT (10.509901388000060 52.242874967000034)",Unfall 10255 (2017) Kat:3, Licht: 0,10255,3,6,3,01,08,4,0,0,0,1,0,0,,1
"POINT (10.494665202000022 52.282876074000058)",Unfall 10442 (2017) Kat:3, Licht: 0,10442,3,1,8,02,14,1,1,0,0,1,0,0,,0
"POINT (10.527001097000038 52.237257588000034)",Unfall 10582 (2017) Kat:3, Licht: 2,10582,3,6,2,02,17,5,0,2,0,1,0,0,,1
"POINT (10.528534912000055 52.275460925000061)",Unfall 10584 (2017) Kat:3, Licht: 1,10584,3,4,6,02,07,5,1,1,0,1,1,0,,0
"POINT (10.524104853000040 52.237033063000069)",Unfall 10758 (2017) Kat:3, Licht: 0,10758,3,6,8,02,10,6,1,0,0,1,0,0,,1
"POINT (10.503154422000023 52.317745168000044)",Unfall 10855 (2017) Kat:3, Licht: 0,10855,3,6,2,02,08,4,0,0,0,1,0,0,,0
"POINT (10.526297052000075 52.313592364000044)",Unfall 11038 (2017) Kat:3, Licht: 2,11038,3,1,2,02,06,3,0,2,0,1,0,0,,0
"POINT (10.528047895000043 52.313512262000074)",Unfall 11141 (2017) Kat:3, Licht: 0,11141,3,6,3,02,08,2,0,0,0,1,0,0,,1
"POINT (10.540043944000047 52.256771201000049)",Unfall 11142 (2017) Kat:3, Licht: 2,11142,3,2,5,02,18,2,1,2,1,1,0,0,,0
"POINT (10.528812626000047 52.234344686000043)",Unfall 11211 (2017) Kat:3, Licht: 0,11211,3,6,2,03,14,4,1,0,0,1,0,0,,0
"POINT (10.508799054000065 52.272874205000051)",Unfall 11469 (2017) Kat:3, Licht: 0,11469,3,6,2,02,12,6,1,0,0,1,0,0,,0
