WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.857319255000000 53.028534780000001)",Unfall 8404 (2016) Kat:3, Licht: 0,8404,3,6,2,05,15,3,,0,0,1,0,0,0,0
"POINT (8.860194033999999 53.029745769999998)",Unfall 8421 (2016) Kat:3, Licht: 0,8421,3,6,2,10,16,3,,0,0,1,0,0,0,0
"POINT (8.811466100000001 53.035382435000002)",Unfall 8430 (2016) Kat:3, Licht: 2,8430,3,6,2,12,17,4,,2,0,1,0,0,0,0
"POINT (8.812857211000001 53.111247368000001)",Unfall 8431 (2016) Kat:2, Licht: 0,8431,2,1,9,09,16,3,,0,0,1,0,0,0,0
"POINT (8.716109819000000 53.173084281000001)",Unfall 8442 (2016) Kat:3, Licht: 0,8442,3,6,3,11,16,6,,0,0,1,0,0,1,0
"POINT (8.757218579000000 53.057929313000002)",Unfall 8446 (2016) Kat:3, Licht: 2,8446,3,7,7,02,06,6,,2,0,1,0,0,1,0
"POINT (8.796487464000000 53.089318372999998)",Unfall 8463 (2016) Kat:3, Licht: 2,8463,3,6,2,10,19,7,,2,0,1,0,0,0,0
"POINT (8.716957388999999 53.171720708999999)",Unfall 8473 (2016) Kat:3, Licht: 0,8473,3,6,2,08,17,6,,0,0,1,0,0,0,0
"POINT (8.775987216000001 53.067945840000000)",Unfall 8477 (2016) Kat:3, Licht: 2,8477,3,1,9,10,23,3,,2,0,1,0,0,0,0
"POINT (8.731367252000000 53.148778110000002)",Unfall 8488 (2016) Kat:3, Licht: 1,8488,3,6,2,12,16,5,,1,0,1,0,0,0,0
"POINT (8.811452965999999 53.114054695000000)",Unfall 8489 (2016) Kat:3, Licht: 0,8489,3,6,2,09,11,7,,0,0,1,0,0,0,1
"POINT (8.717124257000000 53.050292822999999)",Unfall 8491 (2016) Kat:3, Licht: 0,8491,3,6,2,06,15,7,,0,0,1,0,0,0,0
"POINT (8.728567344000000 53.145285238000000)",Unfall 8501 (2016) Kat:2, Licht: 0,8501,2,6,2,11,11,2,,0,0,1,0,0,0,0
"POINT (8.962028222000001 53.071266866000002)",Unfall 8502 (2016) Kat:2, Licht: 0,8502,2,6,3,04,11,4,,0,0,1,0,0,1,0
"POINT (8.793704794000000 53.092760058000003)",Unfall 8504 (2016) Kat:3, Licht: 1,8504,3,6,2,02,14,2,,1,0,1,0,0,0,0
"POINT (8.794126156000001 53.119913427999997)",Unfall 8519 (2016) Kat:2, Licht: 2,8519,2,1,8,10,05,3,,2,0,0,0,1,0,0
"POINT (8.813079942000000 53.117796949000002)",Unfall 8521 (2016) Kat:3, Licht: 2,8521,3,1,9,07,00,5,,2,0,1,0,0,0,0
"POINT (8.789557410000001 53.078815798999997)",Unfall 8530 (2016) Kat:3, Licht: 2,8530,3,6,2,12,06,6,,2,0,1,0,0,0,0
"POINT (8.737772064000000 53.142947495000001)",Unfall 8531 (2016) Kat:3, Licht: 0,8531,3,6,2,08,13,5,,0,0,1,0,0,0,1
"POINT (8.739640197000000 53.143576877000001)",Unfall 8532 (2016) Kat:3, Licht: 0,8532,3,1,8,05,06,2,,0,0,1,0,0,0,0
"POINT (8.784430744000000 53.072290596000002)",Unfall 8535 (2016) Kat:2, Licht: 0,8535,2,6,2,03,10,2,,0,0,0,0,0,1,0
"POINT (8.794266304000001 53.091656550000003)",Unfall 8547 (2016) Kat:3, Licht: 0,8547,3,6,2,04,17,5,,0,0,1,0,0,0,0
"POINT (8.758072728000000 53.058431759000001)",Unfall 8549 (2016) Kat:3, Licht: 2,8549,3,6,2,01,19,7,,2,0,1,0,0,0,0
"POINT (8.717601358000000 53.170248964999999)",Unfall 8550 (2016) Kat:3, Licht: 0,8550,3,1,0,06,09,4,,0,0,0,0,1,0,1
"POINT (8.791339613000000 53.081329283000002)",Unfall 8559 (2016) Kat:3, Licht: 0,8559,3,6,2,04,17,5,,0,0,1,0,0,0,0
"POINT (8.797115640000000 53.100350704999997)",Unfall 8562 (2016) Kat:3, Licht: 2,8562,3,6,2,01,18,3,,2,0,1,0,0,0,0
"POINT (8.789619547999999 53.079049308999998)",Unfall 8577 (2016) Kat:3, Licht: 0,8577,3,6,2,09,11,4,,0,0,1,0,0,0,1
"POINT (8.714591970000001 53.180340555999997)",Unfall 8579 (2016) Kat:3, Licht: 0,8579,3,6,2,07,10,2,,0,0,1,0,0,0,1
"POINT (8.903379226000000 53.084482377999997)",Unfall 8587 (2016) Kat:3, Licht: 2,8587,3,6,2,11,17,4,,2,0,1,0,0,0,0
"POINT (8.765933106000000 53.060572467999997)",Unfall 8588 (2016) Kat:2, Licht: 0,8588,2,6,3,08,11,3,,0,1,0,0,0,0,0
"POINT (8.882277667000000 53.037644661000002)",Unfall 8589 (2016) Kat:3, Licht: 0,8589,3,6,2,05,15,4,,0,0,1,0,0,1,0
"POINT (8.825439658000001 53.116285793999999)",Unfall 8591 (2016) Kat:3, Licht: 0,8591,3,6,2,02,08,5,,0,0,1,0,0,0,0
"POINT (8.790851240000000 53.080537689000003)",Unfall 8604 (2016) Kat:3, Licht: 0,8604,3,6,3,03,13,3,,0,0,1,0,0,1,0
"POINT (8.809641979000000 53.032213534000000)",Unfall 8607 (2016) Kat:3, Licht: 0,8607,3,6,1,10,08,2,,0,0,1,0,0,0,0
"POINT (8.796539449000001 53.099648510999998)",Unfall 8618 (2016) Kat:3, Licht: 0,8618,3,6,1,09,13,6,,0,0,1,0,0,0,1
"POINT (8.873850034000000 53.107205258999997)",Unfall 8621 (2016) Kat:3, Licht: 0,8621,3,6,2,06,12,6,,0,0,1,0,0,0,1
"POINT (8.802985575999999 53.053410255999999)",Unfall 8635 (2016) Kat:3, Licht: 0,8635,3,3,5,09,12,5,,0,0,1,0,0,1,0
"POINT (8.790515386999999 53.080087822000003)",Unfall 8637 (2016) Kat:3, Licht: 0,8637,3,6,3,07,09,3,,0,0,1,0,0,1,0
"POINT (8.758270923000000 53.076091018000000)",Unfall 8645 (2016) Kat:3, Licht: 2,8645,3,6,2,11,18,5,,2,0,1,0,0,0,0
"POINT (8.884335971000001 53.038313312000000)",Unfall 8646 (2016) Kat:3, Licht: 0,8646,3,6,2,08,12,6,,0,0,1,0,0,0,0
"POINT (8.928564907000000 53.029765028000000)",Unfall 8647 (2016) Kat:3, Licht: 0,8647,3,6,2,05,15,1,,0,0,1,0,0,0,0
"POINT (8.865231735000000 53.111140648999999)",Unfall 8649 (2016) Kat:3, Licht: 0,8649,3,6,2,02,10,2,,0,0,1,0,0,0,0
