WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.508484480000050 51.476814142000080)",Unfall 95578 (2019) Kat:2, Licht: 2,95578,2,6,9,01,00,3,1,2,0,1,0,0,0,0
"POINT (7.402530145000071 51.482163414000070)",Unfall 95797 (2019) Kat:2, Licht: 2,95797,2,4,6,01,00,3,1,2,0,1,1,0,0,0
"POINT (7.364846671000066 51.576313342000049)",Unfall 95929 (2019) Kat:2, Licht: 0,95929,2,6,2,01,15,3,0,0,0,1,0,0,0,0
"POINT (7.448524523000060 51.547092162000069)",Unfall 96008 (2019) Kat:3, Licht: 0,96008,3,6,4,01,11,4,1,0,0,1,0,0,0,0
"POINT (7.487561242000027 51.524038501000064)",Unfall 96011 (2019) Kat:2, Licht: 0,96011,2,7,5,01,14,4,0,0,1,1,0,0,0,0
"POINT (7.324984491000066 51.502381454000044)",Unfall 96049 (2019) Kat:3, Licht: 0,96049,3,6,2,01,15,1,0,0,0,1,0,0,0,0
"POINT (7.404680359000054 51.477896454000074)",Unfall 96115 (2019) Kat:3, Licht: 0,96115,3,2,1,01,10,7,1,0,0,1,0,0,0,0
"POINT (7.504763939000043 51.487457609000046)",Unfall 96116 (2019) Kat:3, Licht: 0,96116,3,6,2,01,15,7,1,0,0,1,0,0,0,0
"POINT (7.482575744000030 51.559047319000058)",Unfall 96119 (2019) Kat:3, Licht: 2,96119,3,2,6,01,17,7,1,2,0,1,1,0,0,0
"POINT (7.475083709000046 51.525389686000040)",Unfall 96120 (2019) Kat:3, Licht: 2,96120,3,2,6,01,16,7,1,2,0,1,1,0,0,0
"POINT (7.365667620000068 51.525528961000077)",Unfall 96195 (2019) Kat:3, Licht: 2,96195,3,3,5,01,05,6,1,2,0,1,0,0,0,0
"POINT (7.449171608000029 51.546907335000071)",Unfall 96196 (2019) Kat:3, Licht: 1,96196,3,2,5,01,16,6,1,1,0,1,0,0,0,0
"POINT (7.463043595000045 51.517376971000033)",Unfall 96197 (2019) Kat:3, Licht: 2,96197,3,2,6,01,07,6,1,2,0,1,1,0,0,0
"POINT (7.325676366000039 51.498957248000067)",Unfall 96212 (2019) Kat:3, Licht: 2,96212,3,2,5,01,16,6,1,2,0,1,0,0,0,0
"POINT (7.498212575000025 51.494130407000057)",Unfall 96277 (2019) Kat:3, Licht: 0,96277,3,6,3,01,14,5,1,0,0,1,0,0,0,0
"POINT (7.537636369000040 51.546636461000048)",Unfall 96278 (2019) Kat:3, Licht: 0,96278,3,1,9,01,10,5,1,0,0,1,0,0,0,0
"POINT (7.467997678000074 51.507823647000066)",Unfall 96280 (2019) Kat:3, Licht: 0,96280,3,6,3,01,11,5,1,0,0,1,0,0,0,0
"POINT (7.507033255000067 51.515850743000044)",Unfall 96334 (2019) Kat:3, Licht: 2,96334,3,2,6,01,07,4,1,2,0,1,1,0,0,0
"POINT (7.452721336000025 51.523839380000027)",Unfall 96335 (2019) Kat:3, Licht: 0,96335,3,2,5,01,09,4,1,0,0,1,0,0,0,0
"POINT (7.470096896000030 51.521875720000025)",Unfall 96336 (2019) Kat:3, Licht: 0,96336,3,5,5,01,13,4,0,0,0,1,0,1,0,0
