WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (13.802961326000000 50.986490981000003)",Unfall 43702 (2016) Kat:3, Licht: 2,43702,3,1,4,01,04,5,,2,0,1,0,0,0,0
"POINT (13.727570597000000 51.031627342000000)",Unfall 43705 (2016) Kat:3, Licht: 0,43705,3,3,5,01,10,6,,0,0,1,0,0,0,0
"POINT (13.691493940000001 51.078816560000000)",Unfall 43716 (2016) Kat:3, Licht: 2,43716,3,1,9,01,05,1,,2,0,1,0,0,0,0
"POINT (13.865703985000000 51.147216872999998)",Unfall 43721 (2016) Kat:3, Licht: 0,43721,3,3,5,01,07,6,,0,0,1,0,0,0,0
"POINT (13.761224884000001 51.063925750999999)",Unfall 43741 (2016) Kat:3, Licht: 0,43741,3,7,6,01,10,4,,0,0,1,1,0,0,0
"POINT (13.801805607000000 50.994427115000001)",Unfall 43752 (2016) Kat:3, Licht: 0,43752,3,6,2,01,13,6,,0,0,1,0,0,0,0
"POINT (13.841672113000000 51.094470717999997)",Unfall 43754 (2016) Kat:3, Licht: 0,43754,3,1,8,01,08,3,,0,0,1,0,0,0,0
"POINT (13.722450840000000 51.103222569000003)",Unfall 43764 (2016) Kat:3, Licht: 2,43764,3,6,2,01,17,2,,2,0,1,0,0,0,0
"POINT (13.747014661000000 51.051756183999998)",Unfall 43781 (2016) Kat:3, Licht: 0,43781,3,6,2,01,09,2,,0,0,1,0,0,0,0
"POINT (13.709513018000001 51.058190641000003)",Unfall 43782 (2016) Kat:3, Licht: 0,43782,3,6,0,01,10,1,,0,0,1,0,0,0,0
"POINT (13.747220406000000 51.051224810000001)",Unfall 43783 (2016) Kat:3, Licht: 0,43783,3,6,2,01,14,5,,0,0,1,0,0,0,0
"POINT (13.739034392000001 51.065795938999997)",Unfall 43793 (2016) Kat:3, Licht: 2,43793,3,1,8,01,00,5,,2,0,1,0,0,0,0
"POINT (13.703535269000000 51.050700562999999)",Unfall 43803 (2016) Kat:2, Licht: 2,43803,2,3,5,01,20,6,,2,0,1,0,0,0,1
"POINT (13.731011066000001 51.120865707999997)",Unfall 43815 (2016) Kat:3, Licht: 0,43815,3,1,4,01,08,6,,0,0,1,0,0,0,0
"POINT (13.729306129999999 51.070437884000000)",Unfall 43821 (2016) Kat:3, Licht: 2,43821,3,1,9,01,00,6,,2,0,1,0,0,0,0
"POINT (13.725438190000000 51.072733257000003)",Unfall 43829 (2016) Kat:3, Licht: 0,43829,3,5,1,01,09,6,,0,0,1,0,0,0,1
"POINT (13.690489790999999 51.077999667000000)",Unfall 43836 (2016) Kat:3, Licht: 0,43836,3,1,8,01,07,6,,0,0,1,0,0,0,0
"POINT (13.736241429000000 51.042358422000000)",Unfall 43858 (2016) Kat:3, Licht: 2,43858,3,4,6,01,17,7,,2,0,0,1,0,0,1
"POINT (13.746109645000001 51.124272218000002)",Unfall 43871 (2016) Kat:3, Licht: 0,43871,3,6,2,01,08,3,,0,0,1,0,0,1,0
"POINT (13.720874378000000 51.092569038000001)",Unfall 43886 (2016) Kat:3, Licht: 2,43886,3,2,6,01,18,2,,2,0,1,1,0,0,0
"POINT (13.826763959999999 51.040258655000002)",Unfall 43892 (2016) Kat:2, Licht: 2,43892,2,3,5,01,18,6,,2,1,1,0,0,0,0
"POINT (13.747357020000001 51.063617690999997)",Unfall 43903 (2016) Kat:3, Licht: 2,43903,3,4,6,01,02,1,,2,0,1,1,0,0,0
"POINT (13.727335125000000 51.057967388999998)",Unfall 43907 (2016) Kat:3, Licht: 1,43907,3,2,2,01,16,5,,1,0,1,0,0,0,0
"POINT (13.827727025000000 51.085268179000003)",Unfall 43928 (2016) Kat:3, Licht: 2,43928,3,1,9,01,05,6,,2,0,1,0,0,0,0
"POINT (13.919509354000001 51.040026851999997)",Unfall 43939 (2016) Kat:2, Licht: 2,43939,2,6,6,01,18,6,,2,0,1,1,0,0,0
"POINT (13.733433916999999 51.061330497000000)",Unfall 43943 (2016) Kat:2, Licht: 0,43943,2,7,0,01,13,4,,0,0,1,0,0,1,0
"POINT (13.693211272999999 51.042970875000002)",Unfall 43958 (2016) Kat:3, Licht: 2,43958,3,5,3,01,17,3,,2,0,1,0,0,0,1
"POINT (13.762692382999999 51.064267317000002)",Unfall 43960 (2016) Kat:3, Licht: 0,43960,3,6,2,01,08,5,,0,0,1,0,0,0,0
"POINT (13.748913554000000 51.170976103000001)",Unfall 43966 (2016) Kat:2, Licht: 0,43966,2,1,8,01,13,2,,0,0,1,0,0,0,0
"POINT (13.740343594000000 51.064711052000000)",Unfall 43973 (2016) Kat:3, Licht: 0,43973,3,2,5,01,15,2,,0,1,1,0,0,0,0
"POINT (13.741277595000000 51.046351639999997)",Unfall 44014 (2016) Kat:3, Licht: 0,44014,3,6,2,02,15,4,,0,0,1,0,0,0,0
"POINT (13.703808739999999 51.034910212000000)",Unfall 44024 (2016) Kat:3, Licht: 0,44024,3,6,2,02,08,2,,0,0,1,0,0,0,0
"POINT (13.798212518000000 51.139752870999999)",Unfall 44025 (2016) Kat:3, Licht: 0,44025,3,6,2,02,10,5,,0,0,1,0,0,0,0
"POINT (13.747807757000000 51.126028947999998)",Unfall 44035 (2016) Kat:3, Licht: 0,44035,3,7,0,01,14,6,,0,0,1,0,0,1,0
"POINT (13.690206583000000 51.074747440000003)",Unfall 44041 (2016) Kat:2, Licht: 2,44041,2,6,4,02,17,1,,2,1,0,0,0,0,0
"POINT (13.790558681000000 51.119145252999999)",Unfall 44060 (2016) Kat:3, Licht: 0,44060,3,3,5,02,15,4,,0,1,1,0,0,0,0
"POINT (13.739420831000000 51.044908264999997)",Unfall 44073 (2016) Kat:3, Licht: 0,44073,3,6,2,02,08,3,,0,0,1,0,0,0,0
"POINT (13.751786960000000 51.062982689000002)",Unfall 44074 (2016) Kat:1, Licht: 0,44074,1,6,3,02,16,2,,0,1,0,0,0,1,0
"POINT (13.617998613999999 51.065612950000002)",Unfall 44098 (2016) Kat:2, Licht: 2,44098,2,6,3,02,19,7,,2,0,1,0,0,0,0
"POINT (13.705982433999999 51.019026320999998)",Unfall 44099 (2016) Kat:3, Licht: 0,44099,3,6,2,01,15,5,,0,0,1,0,0,0,1
"POINT (13.745484877000001 51.049134359000000)",Unfall 44103 (2016) Kat:3, Licht: 2,44103,3,6,2,02,18,6,,2,0,1,0,0,0,0
"POINT (13.747537391000000 51.051683965999999)",Unfall 44109 (2016) Kat:3, Licht: 2,44109,3,3,5,02,18,5,,2,1,1,0,0,0,0
"POINT (13.734805540000000 51.073910261000002)",Unfall 44112 (2016) Kat:3, Licht: 1,44112,3,6,2,01,16,4,,1,0,1,0,0,0,0
"POINT (13.714649696000000 51.100120326999999)",Unfall 44127 (2016) Kat:3, Licht: 1,44127,3,6,2,01,06,3,,1,0,1,0,0,0,0
"POINT (13.652032557000000 51.071487437999998)",Unfall 44129 (2016) Kat:3, Licht: 0,44129,3,1,8,02,15,4,,0,0,0,0,0,0,1
"POINT (13.793161247000000 51.166335263999997)",Unfall 44131 (2016) Kat:3, Licht: 0,44131,3,6,2,02,14,4,,0,0,1,0,0,0,0
"POINT (13.737553631000001 51.087275724999998)",Unfall 44133 (2016) Kat:3, Licht: 2,44133,3,2,5,02,19,3,,2,0,1,0,0,0,0
"POINT (13.759009217999999 51.080070380999999)",Unfall 44148 (2016) Kat:2, Licht: 0,44148,2,3,5,02,13,4,,0,1,0,0,0,0,1
"POINT (13.691934303000000 51.084376130999999)",Unfall 44159 (2016) Kat:3, Licht: 2,44159,3,3,5,02,05,6,,2,0,1,0,0,0,0
"POINT (13.703441422999999 51.088558167999999)",Unfall 44167 (2016) Kat:2, Licht: 0,44167,2,3,5,02,12,3,,0,0,1,0,0,0,0
"POINT (13.890558929000001 51.067739598000003)",Unfall 44172 (2016) Kat:3, Licht: 0,44172,3,1,4,01,08,3,,0,0,1,0,0,0,0
"POINT (13.689396436999999 51.061656143000000)",Unfall 44173 (2016) Kat:3, Licht: 1,44173,3,6,1,01,07,3,,1,0,1,0,0,0,1
"POINT (13.748808686000000 51.129578995000003)",Unfall 44178 (2016) Kat:3, Licht: 2,44178,3,6,3,01,17,3,,2,0,1,0,0,1,0
"POINT (13.753006012000000 51.073923884999999)",Unfall 44195 (2016) Kat:3, Licht: 2,44195,3,6,6,02,00,3,,2,1,0,1,0,0,0
"POINT (13.611591075000000 51.038610017000003)",Unfall 44197 (2016) Kat:2, Licht: 0,44197,2,6,2,02,14,5,,0,0,1,0,0,1,0
"POINT (13.730807943000000 51.029912903000003)",Unfall 44203 (2016) Kat:3, Licht: 0,44203,3,6,2,02,09,5,,0,0,1,0,0,0,1
"POINT (13.746976804999999 51.051711470999997)",Unfall 44220 (2016) Kat:3, Licht: 2,44220,3,2,5,01,19,7,,2,1,1,0,0,0,0
"POINT (13.902298722999999 50.998747403000003)",Unfall 44222 (2016) Kat:3, Licht: 0,44222,3,3,5,01,12,5,,0,0,1,0,0,0,0
"POINT (13.731000638999999 51.118132140000000)",Unfall 44225 (2016) Kat:3, Licht: 0,44225,3,3,0,02,14,2,,0,0,1,0,0,0,1
"POINT (13.723507160000000 51.055128130999996)",Unfall 44229 (2016) Kat:3, Licht: 0,44229,3,4,6,02,10,5,,0,0,1,1,0,0,0
"POINT (13.732642667000000 51.029572438000002)",Unfall 44239 (2016) Kat:3, Licht: 0,44239,3,3,5,02,12,4,,0,1,1,0,0,0,0
"POINT (13.760312289000000 51.081968592999999)",Unfall 44256 (2016) Kat:2, Licht: 1,44256,2,1,0,02,06,7,,1,1,0,0,0,0,0
"POINT (13.748864570000000 51.127878852000002)",Unfall 44277 (2016) Kat:2, Licht: 2,44277,2,1,0,02,21,4,,2,0,1,0,0,0,0
"POINT (13.784013707000000 51.009539232999998)",Unfall 44278 (2016) Kat:3, Licht: 0,44278,3,6,2,01,12,5,,0,0,1,0,0,0,0
"POINT (13.934691363000001 51.044962783000003)",Unfall 44287 (2016) Kat:3, Licht: 0,44287,3,6,3,02,15,5,,0,0,1,0,0,0,1
"POINT (13.722187781000001 51.054073776999999)",Unfall 44297 (2016) Kat:3, Licht: 2,44297,3,6,2,01,17,6,,2,0,1,0,0,0,0
"POINT (13.700908351000001 51.043785282999998)",Unfall 44304 (2016) Kat:2, Licht: 2,44304,2,3,5,01,21,7,,2,0,1,0,0,0,0
"POINT (13.724865805000000 51.056162227999998)",Unfall 44323 (2016) Kat:3, Licht: 2,44323,3,3,5,02,17,4,,2,1,1,0,0,0,0
"POINT (13.736942568000000 51.093759253999998)",Unfall 44342 (2016) Kat:3, Licht: 0,44342,3,6,2,02,16,2,,0,0,1,0,0,0,0
"POINT (13.727710827999999 51.084733587000002)",Unfall 44389 (2016) Kat:2, Licht: 1,44389,2,2,6,02,16,4,,1,0,1,1,0,0,0
"POINT (13.734873192000000 51.104814844000003)",Unfall 44398 (2016) Kat:3, Licht: 0,44398,3,6,3,01,07,5,,0,0,1,0,0,0,0
"POINT (13.705136611000000 51.038339004000001)",Unfall 44405 (2016) Kat:3, Licht: 2,44405,3,2,2,02,18,5,,2,1,1,0,0,0,0
"POINT (13.691639752000000 51.008982989000003)",Unfall 44409 (2016) Kat:3, Licht: 0,44409,3,6,2,02,15,2,,0,0,1,0,0,0,0
"POINT (13.674542052000000 51.067124849000002)",Unfall 44430 (2016) Kat:3, Licht: 0,44430,3,6,2,02,12,7,,0,0,1,0,0,0,0
