WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (6.774321638000060 51.240044038000065)",Unfall 95641 (2019) Kat:3, Licht: 2,95641,3,2,5,01,19,3,1,2,0,1,0,0,0,0
"POINT (6.721786417000033 51.232303270000045)",Unfall 96005 (2019) Kat:2, Licht: 2,96005,2,7,0,01,02,3,1,2,0,0,0,0,0,1
"POINT (6.865088919000073 51.254895362000070)",Unfall 96095 (2019) Kat:3, Licht: 0,96095,3,3,5,01,13,7,0,0,0,1,0,0,0,0
"POINT (6.743456382000034 51.318838460000052)",Unfall 96096 (2019) Kat:3, Licht: 0,96096,3,3,5,01,11,7,1,0,1,1,0,0,0,0
"POINT (6.762828310000032 51.217334128000061)",Unfall 96170 (2019) Kat:3, Licht: 2,96170,3,6,1,01,10,6,1,2,0,1,0,0,1,0
"POINT (6.843049489000066 51.240849694000076)",Unfall 96171 (2019) Kat:3, Licht: 2,96171,3,2,6,01,17,6,1,2,0,1,1,0,0,0
"POINT (6.787579617000063 51.242719490000070)",Unfall 96172 (2019) Kat:3, Licht: 0,96172,3,6,2,01,13,6,1,0,0,1,0,0,0,1
"POINT (6.755695286000048 51.271531726000035)",Unfall 96208 (2019) Kat:3, Licht: 0,96208,3,6,2,01,16,6,1,0,0,1,0,0,0,0
"POINT (6.780630283000050 51.253057941000066)",Unfall 96261 (2019) Kat:3, Licht: 0,96261,3,2,5,01,14,5,0,0,1,1,0,0,0,0
"POINT (6.814755423000065 51.233316571000046)",Unfall 96407 (2019) Kat:3, Licht: 2,96407,3,6,6,01,18,3,1,2,1,0,1,0,0,0
"POINT (6.860028755000030 51.240996018000033)",Unfall 96408 (2019) Kat:3, Licht: 2,96408,3,4,6,01,07,3,1,2,0,1,1,0,0,0
"POINT (6.800093434000075 51.219703474000028)",Unfall 96409 (2019) Kat:3, Licht: 0,96409,3,6,1,01,09,3,1,0,0,1,0,0,0,0
"POINT (6.755919767000023 51.201019753000026)",Unfall 96523 (2019) Kat:3, Licht: 0,96523,3,6,2,01,15,2,1,0,0,1,0,0,0,0
"POINT (6.863473852000027 51.212905642000067)",Unfall 96524 (2019) Kat:3, Licht: 2,96524,3,4,6,01,20,2,0,2,0,1,1,0,0,0
"POINT (6.778855774000022 51.233589550000033)",Unfall 96525 (2019) Kat:3, Licht: 0,96525,3,6,2,01,10,2,1,0,0,1,0,0,0,0
"POINT (6.817478168000037 51.234042487000067)",Unfall 96526 (2019) Kat:3, Licht: 0,96526,3,7,6,01,08,2,0,0,1,0,1,0,0,0
