WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (6.687977053000054 51.358293660000072)",Unfall 95538 (2019) Kat:3, Licht: 2,95538,3,6,1,01,01,3,1,2,0,1,0,0,0,0
"POINT (6.762472358000025 51.435119508000071)",Unfall 95862 (2019) Kat:3, Licht: 2,95862,3,1,0,01,19,3,1,2,1,0,0,0,0,0
"POINT (6.757803812000020 51.527162759000078)",Unfall 96054 (2019) Kat:3, Licht: 2,96054,3,6,3,01,19,1,1,2,0,1,0,0,0,0
"POINT (6.709815553000055 51.478060015000040)",Unfall 96056 (2019) Kat:3, Licht: 0,96056,3,1,9,01,16,1,1,0,0,1,0,0,0,0
"POINT (6.778887078000025 51.363103682000030)",Unfall 96093 (2019) Kat:3, Licht: 0,96093,3,4,6,01,11,7,1,0,0,1,1,0,0,0
"POINT (6.766495835000058 51.484654953000074)",Unfall 96094 (2019) Kat:3, Licht: 0,96094,3,2,5,01,11,7,0,0,0,1,0,0,0,0
"POINT (6.757951761000072 51.429395892000059)",Unfall 96168 (2019) Kat:3, Licht: 0,96168,3,6,2,01,14,6,1,0,0,1,0,0,0,0
"POINT (6.693950326000049 51.410869088000027)",Unfall 96169 (2019) Kat:3, Licht: 1,96169,3,3,0,01,16,6,1,1,1,1,0,0,0,0
"POINT (6.790129957000033 51.425948416000040)",Unfall 96258 (2019) Kat:3, Licht: 0,96258,3,6,0,01,11,5,0,0,1,0,0,0,0,0
"POINT (6.696837398000071 51.401344371000050)",Unfall 96259 (2019) Kat:3, Licht: 0,96259,3,2,1,01,14,5,0,0,0,1,0,0,0,0
"POINT (6.760841035000055 51.500034546000052)",Unfall 96260 (2019) Kat:3, Licht: 2,96260,3,2,5,01,07,5,1,2,0,1,0,0,0,1
"POINT (6.778364321000026 51.484179180000069)",Unfall 96347 (2019) Kat:3, Licht: 0,96347,3,6,2,01,08,4,1,0,0,1,0,0,1,0
"POINT (6.732917667000038 51.481224593000036)",Unfall 96348 (2019) Kat:3, Licht: 2,96348,3,6,3,01,20,4,1,2,0,1,0,0,1,0
"POINT (6.817704001000038 51.493298534000076)",Unfall 96448 (2019) Kat:3, Licht: 0,96448,3,6,2,01,15,3,1,0,0,1,0,0,0,0
"POINT (6.690308732000062 51.405273302000069)",Unfall 96522 (2019) Kat:3, Licht: 0,96522,3,5,4,01,09,2,1,0,0,1,0,0,0,0
"POINT (6.733748287000026 51.458383898000079)",Unfall 96600 (2019) Kat:3, Licht: 1,96600,3,6,2,01,16,1,1,1,1,1,0,0,0,0
"POINT (6.775233354000022 51.488025274000051)",Unfall 96603 (2019) Kat:3, Licht: 2,96603,3,3,5,01,00,1,1,2,0,1,0,0,0,0
"POINT (6.783241836000059 51.419936799000027)",Unfall 96679 (2019) Kat:2, Licht: 2,96679,2,3,4,01,00,6,1,2,1,1,0,0,0,0
"POINT (6.655904260000057 51.390893179000045)",Unfall 96680 (2019) Kat:3, Licht: 2,96680,3,2,6,01,08,6,1,2,0,1,1,0,0,0
