WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.028001841000048 51.452272177000054)",Unfall 95756 (2019) Kat:3, Licht: 2,95756,3,4,6,01,00,3,1,2,0,1,1,0,0,0
"POINT (7.005974557000059 51.443847848000075)",Unfall 95974 (2019) Kat:1, Licht: 2,95974,1,4,6,01,18,3,1,2,0,1,1,0,0,0
"POINT (7.073137332000044 51.423261773000036)",Unfall 96091 (2019) Kat:3, Licht: 1,96091,3,6,2,01,16,7,1,1,0,1,0,0,0,0
"POINT (7.055530849000036 51.428560613000059)",Unfall 96092 (2019) Kat:2, Licht: 0,96092,2,6,1,01,10,7,1,0,0,1,0,0,1,0
"POINT (6.976532535000047 51.479090122000059)",Unfall 96166 (2019) Kat:3, Licht: 2,96166,3,2,6,01,16,6,1,2,0,1,1,0,0,0
"POINT (7.008078454000042 51.433664485000065)",Unfall 96167 (2019) Kat:2, Licht: 0,96167,2,6,4,01,14,6,1,0,0,1,0,0,0,0
"POINT (7.085735929000066 51.465367611000033)",Unfall 96207 (2019) Kat:3, Licht: 2,96207,3,1,3,01,21,6,1,2,0,1,0,0,0,0
"POINT (6.973290997000049 51.442929179000032)",Unfall 96209 (2019) Kat:3, Licht: 2,96209,3,6,2,01,18,6,1,2,0,1,0,0,0,0
"POINT (6.999522461000026 51.493141041000058)",Unfall 96254 (2019) Kat:3, Licht: 0,96254,3,3,5,01,12,5,1,0,1,1,0,0,0,0
"POINT (7.024475245000076 51.437139822000063)",Unfall 96255 (2019) Kat:2, Licht: 2,96255,2,3,0,01,17,5,1,2,1,1,0,0,0,0
"POINT (6.975593645000060 51.442210536000061)",Unfall 96256 (2019) Kat:3, Licht: 0,96256,3,2,5,01,13,5,0,0,0,1,0,0,0,1
"POINT (7.015474073000064 51.461948957000061)",Unfall 96257 (2019) Kat:2, Licht: 0,96257,2,4,6,01,15,5,0,0,0,1,1,0,0,0
"POINT (6.961370028000033 51.470793749000052)",Unfall 96311 (2019) Kat:3, Licht: 2,96311,3,3,5,01,07,4,1,2,0,1,0,0,0,1
"POINT (6.989637737000066 51.438242342000080)",Unfall 96312 (2019) Kat:3, Licht: 2,96312,3,4,3,01,06,4,0,2,0,1,1,0,0,1
"POINT (7.056948339000030 51.491097031000038)",Unfall 96401 (2019) Kat:3, Licht: 0,96401,3,1,9,01,15,3,1,0,0,1,0,0,0,0
