WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
POINT (8.606800287000000 50.057949065000003),Unfall 8576 (2016) Kat:3 Licht:2,8576,3,1,9,01,19,7,,2,0,1,0,0
POINT (8.523772166000001 50.111343918999999),Unfall 8665 (2016) Kat:3 Licht:2,8665,3,6,2,01,00,1,,2,0,1,0,0
POINT (8.541408831000000 50.109869971999998),Unfall 8979 (2016) Kat:1 Licht:0,8979,1,3,5,01,15,7,,0,0,1,0,0
POINT (8.655174352000000 50.077546683999998),Unfall 9025 (2016) Kat:2 Licht:2,9025,2,1,0,01,02,1,,2,0,1,0,0
POINT (8.691195668000001 50.092058375999997),Unfall 9075 (2016) Kat:3 Licht:2,9075,3,7,0,01,03,6,,2,0,1,0,0
POINT (8.654607771000000 50.192096864000000),Unfall 9420 (2016) Kat:3 Licht:0,9420,3,1,9,01,15,2,,0,0,1,0,0
POINT (8.675815709000000 50.149753482999998),Unfall 9536 (2016) Kat:3 Licht:2,9536,3,3,5,01,06,1,,2,0,1,0,0
POINT (8.741211277000000 50.096324185000000),Unfall 9603 (2016) Kat:3 Licht:2,9603,3,1,9,01,20,7,,2,0,1,0,0
POINT (8.672220340000001 50.161416551000002),Unfall 9686 (2016) Kat:2 Licht:2,9686,2,1,8,01,21,3,,2,0,1,0,0
POINT (8.686236015000000 50.155305777999999),Unfall 9694 (2016) Kat:3 Licht:0,9694,3,3,5,01,13,2,,0,0,1,0,0
POINT (8.697261966999999 50.109384059999996),Unfall 9695 (2016) Kat:3 Licht:1,9695,3,2,6,01,07,6,,1,0,1,1,0
POINT (8.537013321000000 50.116830782999997),Unfall 9701 (2016) Kat:3 Licht:2,9701,3,6,2,01,17,3,,2,0,1,0,0
POINT (8.714507747000001 50.064037427000002),Unfall 9712 (2016) Kat:3 Licht:2,9712,3,6,3,01,05,4,,2,0,1,0,0
POINT (8.695289222000000 50.104098509000004),Unfall 9713 (2016) Kat:3 Licht:0,9713,3,6,3,01,07,5,,0,0,1,0,0
POINT (8.691181341000000 50.092170496999998),Unfall 9720 (2016) Kat:3 Licht:2,9720,3,6,6,01,07,2,,2,0,1,1,0
POINT (8.601864034000000 50.109962439000000),Unfall 9729 (2016) Kat:3 Licht:2,9729,3,1,9,01,02,4,,2,0,1,0,0
POINT (8.635062307000000 50.195192411999997),Unfall 9750 (2016) Kat:3 Licht:0,9750,3,6,2,01,15,6,,0,0,1,0,0
POINT (8.750197504000001 50.121766884000003),Unfall 9765 (2016) Kat:3 Licht:1,9765,3,6,2,01,07,2,,1,0,1,0,0
POINT (8.694758179999999 50.160211353000001),Unfall 9791 (2016) Kat:3 Licht:2,9791,3,7,2,01,19,6,,2,0,1,0,0
POINT (8.514889659000000 50.085140070000001),Unfall 9794 (2016) Kat:3 Licht:2,9794,3,3,5,01,21,3,,2,0,1,0,0
POINT (8.675190733000001 50.091932997999997),Unfall 9803 (2016) Kat:2 Licht:0,9803,2,1,0,01,10,3,,0,0,0,0,1
POINT (8.720274758000000 50.114194359999999),Unfall 9813 (2016) Kat:3 Licht:0,9813,3,3,5,01,16,3,,0,1,1,0,0
POINT (8.639007402000001 50.154492838000003),Unfall 9815 (2016) Kat:2 Licht:0,9815,2,1,0,01,09,6,,0,1,0,0,0
