WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (9.967262657999999 53.450085612000002)",Unfall 6132 (2016) Kat:3, Licht: 0,6132,3,2,2,02,16,4,,0,0,1,0,1,0,0
"POINT (9.921464726000000 53.518013908999997)",Unfall 6135 (2016) Kat:3, Licht: 0,6135,3,6,2,04,11,7,,0,0,1,0,0,0,1
"POINT (10.135766858000000 53.483877243999999)",Unfall 6147 (2016) Kat:2, Licht: 0,6147,2,4,6,01,13,2,,0,0,1,1,0,0,0
"POINT (9.993789540000000 53.547322952000002)",Unfall 6148 (2016) Kat:2, Licht: 0,6148,2,6,2,03,16,7,,0,0,1,0,1,0,1
"POINT (9.963098544999999 53.600735749000002)",Unfall 6155 (2016) Kat:3, Licht: 2,6155,3,1,9,02,18,1,,2,0,1,0,0,0,0
"POINT (10.026508481000000 53.551490504999997)",Unfall 6165 (2016) Kat:3, Licht: 2,6165,3,3,5,01,21,4,,2,0,1,0,0,0,0
"POINT (9.928596256000001 53.592257816000000)",Unfall 6166 (2016) Kat:3, Licht: 0,6166,3,2,4,03,15,7,,0,0,1,0,0,0,0
"POINT (10.019394967000000 53.582500447999998)",Unfall 6183 (2016) Kat:3, Licht: 0,6183,3,6,2,02,11,4,,0,0,1,0,0,0,0
"POINT (10.240903380000001 53.477779904000002)",Unfall 6189 (2016) Kat:3, Licht: 0,6189,3,2,5,04,15,2,,0,1,1,0,0,0,0
"POINT (10.001620158000000 53.547504983000003)",Unfall 6201 (2016) Kat:3, Licht: 2,6201,3,6,4,01,03,7,,2,0,1,0,0,0,0
"POINT (10.022397512000000 53.543249938999999)",Unfall 6206 (2016) Kat:3, Licht: 0,6206,3,3,5,02,07,7,,0,0,1,0,0,0,0
"POINT (9.925804743000001 53.632674233000003)",Unfall 6209 (2016) Kat:3, Licht: 0,6209,3,6,2,03,16,4,,0,0,1,0,0,0,0
"POINT (10.025910233999999 53.558869274000003)",Unfall 6220 (2016) Kat:3, Licht: 2,6220,3,6,2,01,17,5,,2,0,1,0,0,0,0
"POINT (9.897121887999999 53.555030631000001)",Unfall 6221 (2016) Kat:2, Licht: 0,6221,2,3,5,03,16,7,,0,0,1,0,1,0,0
"POINT (9.946618196999999 53.619090389999997)",Unfall 6226 (2016) Kat:3, Licht: 0,6226,3,6,1,02,09,3,,0,0,1,0,0,0,0
"POINT (9.923946254000001 53.539576060000002)",Unfall 6237 (2016) Kat:2, Licht: 0,6237,2,6,2,03,07,4,,0,0,0,0,0,1,0
"POINT (10.021649496000000 53.543514819999999)",Unfall 6249 (2016) Kat:3, Licht: 0,6249,3,6,2,02,12,2,,0,0,1,0,0,0,0
"POINT (9.983923593000000 53.597725723000003)",Unfall 6262 (2016) Kat:3, Licht: 2,6262,3,7,2,01,19,1,,2,0,1,0,0,0,0
"POINT (9.928030504000001 53.592845848000003)",Unfall 6263 (2016) Kat:3, Licht: 0,6263,3,3,5,03,09,6,,0,0,1,0,0,0,0
"POINT (9.836410884999999 53.573979248000001)",Unfall 6282 (2016) Kat:3, Licht: 0,6282,3,7,2,02,12,3,,0,0,1,0,0,0,0
"POINT (9.847871345000000 53.472780438999997)",Unfall 6290 (2016) Kat:3, Licht: 0,6290,3,6,2,04,12,7,,0,0,1,0,0,0,0
"POINT (9.922919336000000 53.632519076000001)",Unfall 6303 (2016) Kat:3, Licht: 2,6303,3,6,2,01,05,6,,2,0,1,0,0,0,0
"POINT (10.036568673000000 53.496911703000002)",Unfall 6304 (2016) Kat:3, Licht: 0,6304,3,6,2,03,11,6,,0,0,1,0,0,0,0
"POINT (9.938164891000000 53.471036984999998)",Unfall 6307 (2016) Kat:3, Licht: 0,6307,3,6,1,02,13,5,,0,0,1,0,0,0,0
"POINT (9.969438048000001 53.584287117999999)",Unfall 6310 (2016) Kat:3, Licht: 0,6310,3,2,6,03,16,3,,0,0,0,1,0,0,1
"POINT (9.930348091000001 53.649628147000001)",Unfall 6320 (2016) Kat:3, Licht: 0,6320,3,1,8,01,10,3,,0,0,0,0,0,0,1
"POINT (9.877875874000001 53.471972444999999)",Unfall 6321 (2016) Kat:3, Licht: 1,6321,3,3,5,03,06,4,,1,0,1,0,0,0,1
"POINT (9.944900488000000 53.563057782999998)",Unfall 6338 (2016) Kat:3, Licht: 0,6338,3,6,3,03,13,3,,0,0,1,0,0,1,0
"POINT (9.897399203999999 53.556977310999997)",Unfall 6351 (2016) Kat:3, Licht: 0,6351,3,6,2,01,12,7,,0,0,1,0,0,0,0
"POINT (9.957072651000001 53.571456380000001)",Unfall 6357 (2016) Kat:3, Licht: 0,6357,3,6,2,02,15,7,,0,0,1,0,0,0,0
"POINT (9.864680105000000 53.571595893000001)",Unfall 6364 (2016) Kat:3, Licht: 0,6364,3,6,1,04,14,3,,0,0,1,0,0,1,0
"POINT (10.007427690000000 53.547820160000001)",Unfall 6378 (2016) Kat:3, Licht: 0,6378,3,6,2,01,09,3,,0,0,1,0,0,0,0
"POINT (9.917174886000000 53.610380980999999)",Unfall 6379 (2016) Kat:3, Licht: 0,6379,3,6,3,03,14,3,,0,0,1,0,0,1,0
"POINT (9.944871278000001 53.563061967000003)",Unfall 6386 (2016) Kat:3, Licht: 2,6386,3,6,1,02,18,3,,2,0,1,0,0,0,0
"POINT (9.886621245000001 53.568251021000002)",Unfall 6391 (2016) Kat:3, Licht: 0,6391,3,6,3,02,07,2,,0,0,1,0,0,1,1
"POINT (10.029075475000001 53.487971571999999)",Unfall 6398 (2016) Kat:3, Licht: 0,6398,3,6,2,04,18,5,,0,0,1,0,0,0,0
"POINT (9.923465694000001 53.633417704000003)",Unfall 6409 (2016) Kat:3, Licht: 0,6409,3,6,2,01,14,4,,0,0,1,0,0,0,0
"POINT (9.899176189000000 53.563035681999999)",Unfall 6410 (2016) Kat:3, Licht: 2,6410,3,6,2,03,21,5,,2,0,1,0,0,0,0
"POINT (9.871773808000000 53.571113724999996)",Unfall 6415 (2016) Kat:3, Licht: 0,6415,3,7,2,02,14,5,,0,0,1,0,0,0,0
"POINT (9.998792278000000 53.497594030000002)",Unfall 6418 (2016) Kat:3, Licht: 0,6418,3,6,2,03,16,7,,0,0,1,0,0,0,0
"POINT (9.899851252000000 53.471234895000002)",Unfall 6429 (2016) Kat:3, Licht: 2,6429,3,1,9,01,06,7,,2,0,1,0,0,0,0
"POINT (9.973287854000001 53.549754673000002)",Unfall 6430 (2016) Kat:3, Licht: 0,6430,3,3,5,03,08,4,,0,0,1,0,0,0,1
"POINT (10.037353852000001 53.506706778000002)",Unfall 6448 (2016) Kat:3, Licht: 0,6448,3,6,2,02,15,6,,0,0,1,0,0,0,0
"POINT (9.986983686000000 53.603502853999998)",Unfall 6461 (2016) Kat:3, Licht: 0,6461,3,3,5,01,15,5,,0,0,1,0,0,0,0
"POINT (10.021149738000000 53.543692421000003)",Unfall 6467 (2016) Kat:3, Licht: 2,6467,3,6,2,02,18,5,,2,0,1,0,0,0,0
"POINT (9.979146821000001 53.549238959000000)",Unfall 6471 (2016) Kat:2, Licht: 2,6471,2,4,6,04,21,2,,2,0,1,1,0,0,0
"POINT (9.901587051000000 53.470973473999997)",Unfall 6485 (2016) Kat:3, Licht: 1,6485,3,2,2,01,17,2,,1,0,1,0,0,0,0
"POINT (10.134766124000000 53.526735610999999)",Unfall 6486 (2016) Kat:3, Licht: 2,6486,3,3,5,03,04,7,,2,0,1,0,0,0,0
"POINT (9.870836744000000 53.571148759000003)",Unfall 6494 (2016) Kat:3, Licht: 2,6494,3,6,2,02,17,2,,2,0,1,0,0,0,0
"POINT (9.962103063000001 53.603191858000002)",Unfall 6504 (2016) Kat:3, Licht: 2,6504,3,2,5,01,16,5,,2,0,1,0,0,0,1
"POINT (9.994631158000001 53.470688631000002)",Unfall 6505 (2016) Kat:3, Licht: 2,6505,3,6,2,03,23,7,,2,0,1,0,0,0,0
"POINT (10.228333565000000 53.488076270000001)",Unfall 6524 (2016) Kat:3, Licht: 0,6524,3,2,6,02,12,4,,0,0,1,1,0,0,0
"POINT (9.972294689000000 53.466648243000002)",Unfall 6534 (2016) Kat:3, Licht: 2,6534,3,6,3,01,18,5,,2,0,1,0,0,0,0
"POINT (9.945084459000000 53.471083165000003)",Unfall 6535 (2016) Kat:3, Licht: 0,6535,3,6,2,03,17,2,,0,0,1,0,0,0,0
"POINT (10.030598060000001 53.567414048000003)",Unfall 6553 (2016) Kat:2, Licht: 2,6553,2,4,6,02,04,5,,2,0,1,1,0,0,0
"POINT (10.026370792000000 53.460781588000003)",Unfall 6567 (2016) Kat:1, Licht: 0,6567,1,6,2,01,09,3,,0,0,0,0,0,1,0
