WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.809079205000046 52.379596181000068)",Unfall 8214 (2017) Kat:3, Licht: 2,8214,3,3,5,01,21,1,1,2,0,1,0,0
"POINT (9.880214309000053 52.399306074000037)",Unfall 8217 (2017) Kat:3, Licht: 2,8217,3,6,2,01,17,1,0,2,0,1,0,0
"POINT (9.781459315000063 52.425034258000039)",Unfall 8992 (2017) Kat:3, Licht: 2,8992,3,2,6,01,17,4,1,2,0,1,1,0
"POINT (9.624535698000045 52.425019660000032)",Unfall 9169 (2017) Kat:3, Licht: 2,9169,3,6,3,01,18,3,1,2,0,1,0,0
"POINT (9.764961613000025 52.370691901000043)",Unfall 9302 (2017) Kat:3, Licht: 0,9302,3,6,2,01,10,2,1,0,0,1,0,0
"POINT (9.763376734000076 52.343905498000026)",Unfall 9481 (2017) Kat:3, Licht: 1,9481,3,3,5,01,16,5,0,1,1,1,0,0
"POINT (9.814405623000027 52.429081589000077)",Unfall 9483 (2017) Kat:3, Licht: 0,9483,3,6,3,01,13,5,0,0,0,0,0,0
"POINT (9.756781300000057 52.370188096000049)",Unfall 9484 (2017) Kat:2, Licht: 0,9484,2,3,5,01,08,5,1,0,1,1,0,0
"POINT (9.861861068000053 52.369424589000062)",Unfall 9543 (2017) Kat:3, Licht: 0,9543,3,6,2,01,09,4,0,0,0,1,0,0
"POINT (9.732223720000036 52.383051973000079)",Unfall 9544 (2017) Kat:3, Licht: 2,9544,3,2,5,01,18,4,1,2,1,1,0,0
"POINT (9.651355902000034 52.419586627000058)",Unfall 9548 (2017) Kat:2, Licht: 2,9548,2,2,5,01,17,4,1,2,0,1,0,0
"POINT (9.735848291000025 52.399303380000049)",Unfall 9549 (2017) Kat:2, Licht: 2,9549,2,7,9,01,21,4,0,2,0,1,0,0
"POINT (9.734880288000056 52.391365271000041)",Unfall 9587 (2017) Kat:3, Licht: 0,9587,3,6,2,01,14,3,0,0,0,1,0,0
"POINT (9.726492447000055 52.375641440000038)",Unfall 9628 (2017) Kat:3, Licht: 2,9628,3,2,2,01,18,2,1,2,0,1,0,0
"POINT (9.797507453000037 52.416348926000069)",Unfall 9629 (2017) Kat:3, Licht: 2,9629,3,3,5,01,18,2,1,2,1,1,0,0
"POINT (9.838561179000067 52.409878380000066)",Unfall 9630 (2017) Kat:3, Licht: 2,9630,3,6,2,01,17,2,1,2,0,1,0,0
"POINT (9.756881036000038 52.341014320000056)",Unfall 9631 (2017) Kat:3, Licht: 0,9631,3,6,3,01,11,2,0,0,0,1,0,0
"POINT (9.705838256000050 52.412308631000030)",Unfall 9683 (2017) Kat:3, Licht: 2,9683,3,1,8,01,18,7,2,2,0,1,0,0
"POINT (9.793826845000069 52.394743602000062)",Unfall 9716 (2017) Kat:3, Licht: 0,9716,3,2,3,01,12,6,2,0,0,1,0,0
"POINT (9.722587216000022 52.378673975000027)",Unfall 9717 (2017) Kat:3, Licht: 2,9717,3,2,0,01,05,6,0,2,1,1,0,0
"POINT (9.829521000000057 52.409275698000044)",Unfall 9719 (2017) Kat:3, Licht: 0,9719,3,1,9,01,10,6,2,0,0,1,0,0
"POINT (9.843010291000041 52.410946104000061)",Unfall 9720 (2017) Kat:3, Licht: 0,9720,3,6,2,01,10,6,2,0,0,1,0,0
"POINT (9.785765488000038 52.429200015000049)",Unfall 9756 (2017) Kat:3, Licht: 0,9756,3,6,8,01,10,7,1,0,0,1,0,0
"POINT (9.725343039000052 52.380372942000065)",Unfall 9781 (2017) Kat:3, Licht: 2,9781,3,3,5,01,20,6,0,2,1,1,0,0
"POINT (9.820653237000045 52.408059634000040)",Unfall 9824 (2017) Kat:3, Licht: 1,9824,3,2,2,01,17,5,0,1,0,1,0,0
"POINT (9.733356770000057 52.417992746000039)",Unfall 9828 (2017) Kat:3, Licht: 0,9828,3,7,0,01,12,5,0,0,1,0,0,0
"POINT (9.736210085000039 52.399149111000042)",Unfall 9866 (2017) Kat:3, Licht: 1,9866,3,6,2,01,06,4,0,1,0,1,0,0
"POINT (9.841745467000067 52.395173068000076)",Unfall 9950 (2017) Kat:3, Licht: 2,9950,3,3,5,01,17,2,0,2,1,1,0,0
"POINT (9.739231829000062 52.368203014000073)",Unfall 9955 (2017) Kat:3, Licht: 2,9955,3,7,1,01,17,6,0,2,1,1,0,0
"POINT (9.660100224000075 52.387269926000045)",Unfall 9956 (2017) Kat:3, Licht: 2,9956,3,7,9,01,06,2,1,2,0,1,0,0
"POINT (9.756922636000070 52.370196586000077)",Unfall 9959 (2017) Kat:3, Licht: 2,9959,3,6,2,01,17,6,1,2,0,1,0,0
"POINT (9.735268919000021 52.394591565000042)",Unfall 9974 (2017) Kat:3, Licht: 2,9974,3,2,5,01,06,6,1,2,1,1,0,0
"POINT (9.827262954000048 52.346492809000040)",Unfall 9983 (2017) Kat:3, Licht: 1,9983,3,7,0,01,16,6,1,1,0,0,0,0
"POINT (9.869544691000044 52.311470557000064)",Unfall 9998 (2017) Kat:3, Licht: 2,9998,3,1,8,01,04,6,2,2,0,1,0,0
"POINT (9.696128907000059 52.380039855000064)",Unfall 10023 (2017) Kat:3, Licht: 2,10023,3,1,0,01,01,1,1,2,0,1,0,0
"POINT (9.802567420000059 52.434784433000061)",Unfall 10055 (2017) Kat:2, Licht: 0,10055,2,2,5,01,11,1,0,0,1,0,0,0
"POINT (9.830443921000040 52.339260908000028)",Unfall 10076 (2017) Kat:3, Licht: 0,10076,3,3,5,01,08,7,1,0,0,1,0,0
"POINT (9.798771124000041 52.345000453000068)",Unfall 10080 (2017) Kat:3, Licht: 2,10080,3,1,9,01,19,7,1,2,0,1,0,0
"POINT (9.782348192000029 52.371926523000070)",Unfall 10082 (2017) Kat:3, Licht: 0,10082,3,7,5,01,15,7,1,0,0,1,0,0
