WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.090268072000001 49.196687357999998)","Unfall 22596 (2016) Kat:3 Licht:2",22596,3,3,5,01,18,1,,2,0,1,0,0
"POINT (9.250001791000001 49.150131471999998)","Unfall 22673 (2016) Kat:2 Licht:0",22673,2,1,4,01,11,3,,0,0,1,0,0
"POINT (9.119393808000000 49.188337267999998)","Unfall 22861 (2016) Kat:2 Licht:2",22861,2,1,8,01,02,2,,2,0,1,0,0
"POINT (9.216741807000000 49.169430943999998)","Unfall 22908 (2016) Kat:2 Licht:2",22908,2,3,5,01,02,6,,2,0,1,0,0
"POINT (9.218404250000001 49.146336658999999)","Unfall 22938 (2016) Kat:2 Licht:2",22938,2,6,1,01,00,7,,2,0,1,0,0
"POINT (9.203952503000000 49.126630284000001)","Unfall 22962 (2016) Kat:3 Licht:0",22962,3,5,1,01,15,6,,0,0,1,0,0
"POINT (9.220502140000001 49.134380032000003)","Unfall 23050 (2016) Kat:3 Licht:2",23050,3,6,2,01,00,7,,2,0,1,0,0
"POINT (9.216409506000000 49.135253929000001)","Unfall 23052 (2016) Kat:2 Licht:2",23052,2,4,6,01,20,4,,2,0,1,1,0
"POINT (9.220674106000001 49.146301712000003)","Unfall 23078 (2016) Kat:3 Licht:2",23078,3,6,2,01,20,5,,2,0,1,0,0
"POINT (9.217925251000001 49.146369253000003)","Unfall 23219 (2016) Kat:2 Licht:0",23219,2,3,5,01,09,5,,0,1,1,0,0
"POINT (9.225408083000000 49.168149589000002)","Unfall 23322 (2016) Kat:3 Licht:0",23322,3,6,1,01,13,6,,0,0,1,0,0
"POINT (9.183702093999999 49.164913601000002)","Unfall 23391 (2016) Kat:2 Licht:2",23391,2,4,6,01,18,7,,2,0,1,1,0
"POINT (9.249467785000000 49.107780751999996)","Unfall 23475 (2016) Kat:3 Licht:2",23475,3,1,8,01,04,7,,2,0,1,0,0
"POINT (9.204484006000000 49.169076406000002)","Unfall 23555 (2016) Kat:2 Licht:0",23555,2,2,6,01,10,3,,0,0,1,1,0
"POINT (9.216366954000000 49.152430224000000)","Unfall 23631 (2016) Kat:2 Licht:2",23631,2,4,6,01,17,3,,2,0,1,1,0
"POINT (9.206539240000000 49.185372721999997)","Unfall 23635 (2016) Kat:3 Licht:0",23635,3,6,2,01,13,6,,0,0,1,0,0
"POINT (9.146398008000000 49.187937275000003)","Unfall 23735 (2016) Kat:3 Licht:0",23735,3,1,9,01,09,7,,0,0,1,0,0
"POINT (9.236858412000000 49.164516112999998)","Unfall 23799 (2016) Kat:3 Licht:0",23799,3,1,9,01,09,3,,0,0,1,0,0
"POINT (9.199657751000000 49.140542306000000)","Unfall 23819 (2016) Kat:3 Licht:2",23819,3,1,8,01,02,1,,2,0,1,0,0
"POINT (9.197828496000000 49.131166262000001)","Unfall 23960 (2016) Kat:3 Licht:2",23960,3,6,2,01,17,7,,2,0,1,0,0
"POINT (9.149615753000001 49.188076328000001)","Unfall 24034 (2016) Kat:3 Licht:0",24034,3,6,2,01,15,6,,0,0,1,0,0
