WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.455321927000000 48.971605629999999)",Unfall 22621 (2016) Kat:3, Licht: 1,22621,3,6,2,01,16,7,,1,0,1,0,0,0,0
"POINT (8.378979883000000 49.005641625999999)",Unfall 22895 (2016) Kat:2, Licht: 0,22895,2,2,5,01,14,1,,0,1,1,0,0,0,0
"POINT (8.395017825000000 49.033031401000002)",Unfall 22977 (2016) Kat:3, Licht: 0,22977,3,6,2,01,12,7,,0,0,1,0,0,0,0
"POINT (8.445099002999999 48.987646433999998)",Unfall 22983 (2016) Kat:3, Licht: 2,22983,3,6,2,01,17,4,,2,0,1,0,0,0,0
"POINT (8.415581985999999 49.005335995999999)",Unfall 23066 (2016) Kat:3, Licht: 2,23066,3,3,5,01,19,3,,2,1,1,0,0,0,0
"POINT (8.384720394000000 49.005468753000002)",Unfall 23077 (2016) Kat:3, Licht: 2,23077,3,3,5,01,16,7,,2,0,1,0,0,0,0
"POINT (8.487994095000000 49.006647497000003)",Unfall 23096 (2016) Kat:2, Licht: 0,23096,2,6,3,01,13,3,,0,0,1,0,0,0,0
"POINT (8.393471585000000 48.994600355000003)",Unfall 23116 (2016) Kat:3, Licht: 0,23116,3,2,4,01,11,6,,0,1,1,0,0,0,0
"POINT (8.437802575999999 49.005179552999998)",Unfall 23184 (2016) Kat:3, Licht: 2,23184,3,1,0,01,06,5,,2,1,0,0,0,0,0
"POINT (8.457493402000001 48.970953315000003)",Unfall 23211 (2016) Kat:3, Licht: 2,23211,3,6,2,01,07,3,,2,0,0,0,0,1,0
"POINT (8.482854774000000 49.033103758999999)",Unfall 23288 (2016) Kat:2, Licht: 0,23288,2,6,2,01,13,5,,0,0,1,0,0,0,0
"POINT (8.406768461000000 48.976141824000003)",Unfall 23296 (2016) Kat:3, Licht: 2,23296,3,4,6,01,07,6,,2,0,1,1,0,0,0
"POINT (8.363266238000000 49.006349071999999)",Unfall 23298 (2016) Kat:3, Licht: 1,23298,3,6,2,01,08,3,,1,0,1,0,0,0,0
"POINT (8.484544412000000 49.003431202999998)",Unfall 23309 (2016) Kat:3, Licht: 0,23309,3,2,2,01,17,3,,0,0,1,0,0,0,1
"POINT (8.396678189999999 49.023584329999998)",Unfall 23494 (2016) Kat:3, Licht: 2,23494,3,6,2,01,07,6,,2,0,1,0,0,0,0
"POINT (8.436079942999999 48.973033882000003)",Unfall 23545 (2016) Kat:3, Licht: 2,23545,3,1,9,01,19,4,,2,0,1,0,0,0,0
"POINT (8.436899916000000 48.982099534000000)",Unfall 23564 (2016) Kat:3, Licht: 0,23564,3,6,2,01,15,6,,0,0,1,0,0,0,0
"POINT (8.430341297000000 48.969301938000001)",Unfall 23602 (2016) Kat:3, Licht: 0,23602,3,6,3,01,09,5,,0,0,1,0,0,1,0
"POINT (8.436807967000000 48.983224343000003)",Unfall 23617 (2016) Kat:3, Licht: 1,23617,3,6,2,01,07,2,,1,0,1,0,0,0,0
"POINT (8.386697443999999 49.005516370999999)",Unfall 23624 (2016) Kat:3, Licht: 0,23624,3,3,0,01,14,4,,0,0,1,0,0,0,1
"POINT (8.353027737000000 49.013682435000000)",Unfall 23673 (2016) Kat:3, Licht: 2,23673,3,2,4,01,06,6,,2,0,1,0,0,0,1
"POINT (8.407908962000001 49.005655357999999)",Unfall 23712 (2016) Kat:3, Licht: 0,23712,3,6,2,01,12,6,,0,0,1,0,0,0,0
"POINT (8.389635190000000 49.018815912000001)",Unfall 23714 (2016) Kat:2, Licht: 2,23714,2,2,4,01,06,2,,2,1,1,0,0,0,0
"POINT (8.541464311000000 48.960004304000002)",Unfall 23730 (2016) Kat:2, Licht: 2,23730,2,1,0,01,00,5,,2,0,1,0,0,0,0
"POINT (8.376010634000000 48.993788174999999)",Unfall 23844 (2016) Kat:3, Licht: 2,23844,3,6,2,01,18,4,,2,0,1,0,0,0,0
"POINT (8.423317514000001 49.051882671000001)",Unfall 23917 (2016) Kat:2, Licht: 0,23917,2,1,8,01,12,1,,0,0,1,0,0,0,0
"POINT (8.398920302000001 49.005514994999999)",Unfall 23922 (2016) Kat:3, Licht: 2,23922,3,6,3,01,18,7,,2,0,1,0,0,0,0
"POINT (8.436048932000000 49.015613602000002)",Unfall 23924 (2016) Kat:2, Licht: 0,23924,2,2,4,01,16,3,,0,0,1,0,0,0,0
"POINT (8.360118148000000 49.031607778000001)",Unfall 24035 (2016) Kat:3, Licht: 2,24035,3,6,2,01,06,2,,2,0,1,0,0,0,0
"POINT (8.365830071000000 49.004600281000002)",Unfall 24049 (2016) Kat:3, Licht: 2,24049,3,6,2,01,17,3,,2,0,1,0,0,0,0
"POINT (8.344673801000001 49.000831122999998)",Unfall 24088 (2016) Kat:3, Licht: 0,24088,3,6,2,01,13,7,,0,0,1,0,0,0,0
