WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (12.373160536000000 51.301973785999998)",Unfall 43709 (2016) Kat:2, Licht: 0,43709,2,1,7,01,08,6,,0,0,1,0,0,0,1
"POINT (12.479468361000000 51.352031959999998)",Unfall 43733 (2016) Kat:3, Licht: 0,43733,3,2,4,01,15,4,,0,0,1,0,0,0,0
"POINT (12.420849131000001 51.351410375999997)",Unfall 43735 (2016) Kat:3, Licht: 0,43735,3,6,8,01,14,5,,0,0,1,0,0,1,0
"POINT (12.311619804999999 51.414689340999999)",Unfall 43736 (2016) Kat:2, Licht: 2,43736,2,2,4,01,17,5,,2,0,1,0,0,0,0
"POINT (12.373406519000000 51.314810772000001)",Unfall 43780 (2016) Kat:3, Licht: 2,43780,3,2,4,01,23,5,,2,0,1,0,0,0,0
"POINT (12.290312733000000 51.392851817999997)",Unfall 43791 (2016) Kat:3, Licht: 1,43791,3,2,5,01,06,6,,1,1,1,0,0,0,0
"POINT (12.379763176999999 51.343967747999997)",Unfall 43837 (2016) Kat:2, Licht: 0,43837,2,3,5,01,13,6,,0,1,1,0,0,0,0
"POINT (12.460795475999999 51.367347309000003)",Unfall 43839 (2016) Kat:3, Licht: 0,43839,3,2,5,01,14,7,,0,0,1,0,0,0,0
"POINT (12.262831686000000 51.347944771999998)",Unfall 43862 (2016) Kat:3, Licht: 0,43862,3,6,2,01,10,5,,0,1,1,0,0,0,0
"POINT (12.395376012000000 51.341092005000000)",Unfall 43863 (2016) Kat:3, Licht: 0,43863,3,1,0,01,10,5,,0,1,0,0,0,0,0
"POINT (12.457554317000000 51.350352573000002)",Unfall 43877 (2016) Kat:3, Licht: 2,43877,3,2,2,01,18,2,,2,0,1,0,0,0,0
"POINT (12.356038794000000 51.341454878999997)",Unfall 43919 (2016) Kat:3, Licht: 0,43919,3,3,5,01,15,3,,0,1,1,0,0,0,0
"POINT (12.379524947000000 51.344064441999997)",Unfall 43921 (2016) Kat:2, Licht: 2,43921,2,4,6,01,19,5,,2,0,0,1,0,0,1
"POINT (12.326539237000000 51.378171938000001)",Unfall 43946 (2016) Kat:3, Licht: 0,43946,3,1,8,01,14,3,,0,0,1,0,0,0,0
"POINT (12.475760412000000 51.323695860000001)",Unfall 43965 (2016) Kat:3, Licht: 0,43965,3,4,6,01,15,5,,0,0,1,1,0,0,0
"POINT (12.529764232000000 51.327733397000003)",Unfall 43976 (2016) Kat:3, Licht: 0,43976,3,3,5,01,12,6,,0,0,1,0,0,0,0
"POINT (12.443977120000000 51.291443440000002)",Unfall 43998 (2016) Kat:3, Licht: 1,43998,3,2,2,01,16,2,,1,0,1,0,0,0,0
"POINT (12.446145665000000 51.361088842000001)",Unfall 44037 (2016) Kat:3, Licht: 2,44037,3,6,1,02,18,4,,2,0,1,0,0,0,0
"POINT (12.452219426999999 51.350336362999997)",Unfall 44053 (2016) Kat:3, Licht: 0,44053,3,3,5,02,08,2,,0,1,1,0,0,0,0
"POINT (12.400501084000000 51.351955230999998)",Unfall 44064 (2016) Kat:2, Licht: 2,44064,2,4,6,02,03,4,,2,0,0,1,0,0,1
"POINT (12.342630678000001 51.338696947999999)",Unfall 44066 (2016) Kat:3, Licht: 0,44066,3,2,3,01,10,4,,0,1,1,0,0,0,0
"POINT (12.333068623999999 51.336054142999998)",Unfall 44077 (2016) Kat:3, Licht: 1,44077,3,1,9,01,17,6,,1,0,1,0,0,0,0
"POINT (12.380984130000000 51.343895252999999)",Unfall 44105 (2016) Kat:3, Licht: 0,44105,3,6,2,02,16,7,,0,0,1,0,0,0,0
