WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.517755939000001 49.485766464000001)",Unfall 22630 (2016) Kat:3, Licht: 0,22630,3,6,3,01,12,1,,0,0,1,0,0,0,0
"POINT (8.459247419000000 49.492329515999998)",Unfall 22778 (2016) Kat:3, Licht: 0,22778,3,6,2,01,13,1,,0,0,1,0,0,0,0
"POINT (8.453829283999999 49.491722897999999)",Unfall 22794 (2016) Kat:2, Licht: 2,22794,2,6,2,01,04,2,,2,0,0,0,1,0,1
"POINT (8.549819779000000 49.457458443000000)",Unfall 22917 (2016) Kat:3, Licht: 2,22917,3,7,8,01,19,2,,2,0,1,0,0,1,0
"POINT (8.488743506000001 49.498351407000001)",Unfall 22949 (2016) Kat:3, Licht: 2,22949,3,3,5,01,07,3,,2,0,1,0,0,0,1
"POINT (8.539430848000000 49.464546454999997)",Unfall 22972 (2016) Kat:2, Licht: 2,22972,2,6,2,01,02,2,,2,0,1,0,0,1,0
"POINT (8.500118490000000 49.489454559999999)",Unfall 23004 (2016) Kat:2, Licht: 2,23004,2,2,5,01,19,5,,2,0,1,0,0,0,1
"POINT (8.522731456000001 49.473602687000003)",Unfall 23041 (2016) Kat:2, Licht: 2,23041,2,2,5,01,19,2,,2,0,1,0,0,0,0
"POINT (8.450359645000001 49.491350359999998)",Unfall 23043 (2016) Kat:3, Licht: 2,23043,3,6,9,01,21,6,,2,0,1,0,0,0,1
"POINT (8.560582486000000 49.507188896000002)",Unfall 23068 (2016) Kat:3, Licht: 0,23068,3,6,3,01,16,3,,0,0,1,0,0,1,0
"POINT (8.525984213999999 49.465366426999999)",Unfall 23084 (2016) Kat:3, Licht: 1,23084,3,6,2,01,07,2,,1,0,1,0,0,0,0
"POINT (8.460135432000000 49.481228737000002)",Unfall 23117 (2016) Kat:3, Licht: 0,23117,3,3,5,01,14,5,,0,0,1,0,0,1,0
"POINT (8.495187054000001 49.453588658999998)",Unfall 23152 (2016) Kat:3, Licht: 2,23152,3,6,1,01,18,2,,2,0,1,0,1,0,0
"POINT (8.491976623999999 49.477862819000002)",Unfall 23154 (2016) Kat:3, Licht: 2,23154,3,3,5,01,20,6,,2,0,1,0,0,0,0
"POINT (8.556429141000001 49.455004459000001)",Unfall 23293 (2016) Kat:3, Licht: 0,23293,3,6,2,01,14,3,,0,0,1,0,0,0,0
"POINT (8.483774662000000 49.469340815999999)",Unfall 23327 (2016) Kat:2, Licht: 0,23327,2,4,6,01,11,5,,0,0,0,1,0,0,1
"POINT (8.511002048000000 49.518511240999999)",Unfall 23462 (2016) Kat:3, Licht: 1,23462,3,6,2,01,17,5,,1,0,1,0,0,0,0
"POINT (8.477353633000000 49.517384475999997)",Unfall 23468 (2016) Kat:2, Licht: 0,23468,2,3,5,01,13,4,,0,1,1,0,0,0,0
"POINT (8.484248310000000 49.471378614000002)",Unfall 23493 (2016) Kat:3, Licht: 0,23493,3,1,0,01,12,3,,0,0,0,0,1,0,0
"POINT (8.475825016000000 49.486649354000001)",Unfall 23521 (2016) Kat:2, Licht: 0,23521,2,6,2,01,12,5,,0,0,1,0,1,0,0
"POINT (8.558562036000000 49.499154289000003)",Unfall 23547 (2016) Kat:3, Licht: 0,23547,3,3,5,01,12,2,,0,0,1,0,0,0,0
"POINT (8.458912781000000 49.492127474999997)",Unfall 23601 (2016) Kat:3, Licht: 2,23601,3,6,3,01,19,1,,2,0,1,0,0,0,0
"POINT (8.447508763000000 49.566072618000000)",Unfall 23642 (2016) Kat:1, Licht: 0,23642,1,1,9,01,15,7,,0,0,1,0,0,0,0
"POINT (8.447582935000000 49.573397997000001)",Unfall 23765 (2016) Kat:3, Licht: 0,23765,3,1,9,01,12,6,,0,0,1,0,0,0,0
"POINT (8.510725300000001 49.455979077000002)",Unfall 23860 (2016) Kat:3, Licht: 2,23860,3,1,8,01,01,1,,2,0,1,0,0,0,0
"POINT (8.515130664999999 49.477630464999997)",Unfall 23868 (2016) Kat:2, Licht: 0,23868,2,3,5,01,11,3,,0,0,1,0,0,0,0
"POINT (8.560475077000000 49.513946486000002)",Unfall 23885 (2016) Kat:1, Licht: 2,23885,1,4,6,01,20,4,,2,0,1,1,0,1,0
"POINT (8.569301806000000 49.439753740000000)",Unfall 23949 (2016) Kat:3, Licht: 2,23949,3,2,5,01,19,2,,2,0,1,0,0,0,0
"POINT (8.549390466000000 49.487095676000003)",Unfall 23974 (2016) Kat:3, Licht: 2,23974,3,6,3,01,19,7,,2,0,1,0,0,0,0
"POINT (8.463597119999999 49.505938542000003)",Unfall 23989 (2016) Kat:3, Licht: 2,23989,3,3,5,01,17,7,,2,0,1,0,0,0,0
"POINT (8.515192906999999 49.443434050999997)",Unfall 23994 (2016) Kat:2, Licht: 0,23994,2,6,3,01,07,6,,0,0,1,0,0,0,1
"POINT (8.564174652000000 49.466346377999997)",Unfall 24036 (2016) Kat:3, Licht: 2,24036,3,3,5,01,20,1,,2,0,1,0,0,0,0
"POINT (8.541655964000000 49.446355847000000)",Unfall 24050 (2016) Kat:2, Licht: 0,24050,2,6,0,01,10,4,,0,0,0,0,1,0,0
"POINT (8.531222508000001 49.506835154000001)",Unfall 24116 (2016) Kat:2, Licht: 2,24116,2,7,0,01,02,1,,2,0,1,0,0,0,0
