WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (11.615120746000001 48.112150974999999)",Unfall 60600 (2016) Kat:3, Licht: 2,60600,3,7,5,01,16,1,,2,0,1,0,0,0,0
"POINT (11.524171977000000 48.127725114000000)",Unfall 60686 (2016) Kat:3, Licht: 0,60686,3,6,3,01,14,1,,0,0,1,0,0,0,0
"POINT (11.536799230000000 48.146921012999996)",Unfall 60859 (2016) Kat:2, Licht: 0,60859,2,6,3,01,15,1,,0,1,0,0,0,0,0
"POINT (11.695125880999999 48.115498568000000)",Unfall 60959 (2016) Kat:3, Licht: 2,60959,3,4,6,01,03,6,,2,0,1,1,0,0,0
"POINT (11.613229592000000 48.186878794999998)",Unfall 61077 (2016) Kat:3, Licht: 0,61077,3,6,2,01,14,3,,0,0,1,0,0,0,0
"POINT (11.477047648999999 48.115608358000003)",Unfall 61160 (2016) Kat:2, Licht: 0,61160,2,2,5,01,14,5,,0,1,1,0,0,0,0
"POINT (11.487404171000000 48.086448292000000)",Unfall 61191 (2016) Kat:3, Licht: 2,61191,3,3,5,01,17,2,,2,0,1,0,0,0,0
"POINT (11.671944743999999 48.119598211000003)",Unfall 61192 (2016) Kat:3, Licht: 0,61192,3,5,2,01,12,3,,0,0,1,0,0,1,1
"POINT (11.527979581000000 48.079696533000003)",Unfall 61229 (2016) Kat:3, Licht: 0,61229,3,6,2,01,10,5,,0,0,1,0,0,0,0
"POINT (11.441178101000000 48.145657032999999)",Unfall 61267 (2016) Kat:3, Licht: 0,61267,3,1,4,01,14,2,,0,0,1,0,0,0,0
"POINT (11.569937638000001 48.104627016000002)",Unfall 61339 (2016) Kat:3, Licht: 0,61339,3,2,5,01,12,7,,0,0,1,0,0,0,0
"POINT (11.534348296999999 48.110327892999997)",Unfall 61345 (2016) Kat:2, Licht: 2,61345,2,4,6,01,17,3,,2,0,1,1,0,0,0
"POINT (11.646209038000000 48.210622119999996)",Unfall 61465 (2016) Kat:3, Licht: 2,61465,3,6,3,01,19,7,,2,0,1,0,0,0,0
"POINT (11.437251300000000 48.194216949999998)",Unfall 61469 (2016) Kat:2, Licht: 2,61469,2,1,9,01,19,4,,2,0,1,0,0,0,0
"POINT (11.528202414000001 48.140362478999997)",Unfall 61484 (2016) Kat:3, Licht: 0,61484,3,7,3,01,07,3,,0,0,0,0,0,1,1
"POINT (11.620464617000000 48.124704800000004)",Unfall 61529 (2016) Kat:3, Licht: 2,61529,3,7,0,01,20,6,,2,0,1,0,0,0,0
"POINT (11.576363984000000 48.111839787000001)",Unfall 61566 (2016) Kat:3, Licht: 2,61566,3,2,5,01,05,4,,2,1,1,0,0,0,0
