WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.589618466000047 51.938395069000080)",Unfall 95572 (2019) Kat:3, Licht: 2,95572,3,2,5,01,21,3,1,2,0,1,0,1,0,0
"POINT (7.647013014000038 51.963760756000056)",Unfall 96140 (2019) Kat:3, Licht: 0,96140,3,6,2,01,10,6,1,0,0,1,0,0,0,0
"POINT (7.646820702000071 51.964178413000070)",Unfall 96221 (2019) Kat:3, Licht: 2,96221,3,2,4,01,20,5,1,2,1,1,0,0,0,0
"POINT (7.619863259000056 51.955014490000053)",Unfall 96294 (2019) Kat:3, Licht: 2,96294,3,6,3,01,19,4,0,2,1,0,0,0,0,0
"POINT (7.612114161000022 51.976383243000043)",Unfall 96359 (2019) Kat:3, Licht: 2,96359,3,2,6,01,20,3,1,2,0,1,1,0,0,0
"POINT (7.715785125000025 51.911246411000036)",Unfall 96360 (2019) Kat:2, Licht: 2,96360,2,3,5,01,20,3,1,2,0,1,0,0,0,0
"POINT (7.631288861000030 51.954006201000027)",Unfall 96361 (2019) Kat:3, Licht: 2,96361,3,2,6,01,20,3,1,2,0,1,1,0,0,0
"POINT (7.601998939000055 51.935137330000032)",Unfall 96558 (2019) Kat:3, Licht: 2,96558,3,6,2,01,19,2,1,2,0,1,0,0,0,1
"POINT (7.572087080000074 51.940287192000028)",Unfall 96574 (2019) Kat:3, Licht: 0,96574,3,6,2,01,14,1,1,0,0,1,0,0,0,0
"POINT (7.636599663000027 51.952911756000049)",Unfall 96575 (2019) Kat:2, Licht: 2,96575,2,3,5,01,00,1,1,2,1,1,0,0,0,0
"POINT (7.553021717000036 51.952612525000063)",Unfall 96636 (2019) Kat:3, Licht: 0,96636,3,2,5,01,13,6,1,0,1,1,0,0,0,0
"POINT (7.636345630000051 51.961905724000076)",Unfall 96740 (2019) Kat:3, Licht: 2,96740,3,1,0,01,01,5,0,2,1,0,0,0,0,0
"POINT (7.633261623000067 51.953441849000058)",Unfall 96822 (2019) Kat:3, Licht: 2,96822,3,6,3,01,20,4,0,2,1,0,0,0,0,0
"POINT (7.664818571000069 51.930798974000027)",Unfall 96823 (2019) Kat:3, Licht: 2,96823,3,6,2,01,18,4,0,2,0,1,0,0,0,0
"POINT (7.700666523000052 51.942125537000038)",Unfall 96824 (2019) Kat:2, Licht: 2,96824,2,7,4,01,17,4,0,2,0,1,0,0,0,0
"POINT (7.570158515000060 51.990019868000047)",Unfall 96825 (2019) Kat:2, Licht: 0,96825,2,1,0,01,13,4,0,0,1,0,0,0,0,0
"POINT (7.625616051000066 51.952929179000080)",Unfall 96826 (2019) Kat:2, Licht: 2,96826,2,3,5,01,07,4,1,2,0,1,0,1,0,0
"POINT (7.648251780000066 51.991087728000082)",Unfall 96827 (2019) Kat:3, Licht: 2,96827,3,7,0,01,19,4,1,2,0,1,0,0,0,1
"POINT (7.560239769000020 52.019098938000070)",Unfall 96894 (2019) Kat:3, Licht: 1,96894,3,1,0,01,07,2,1,1,1,0,0,0,0,0
"POINT (7.570646967000073 51.884391785000048)",Unfall 96895 (2019) Kat:3, Licht: 2,96895,3,6,2,01,07,2,1,2,0,1,0,0,0,0
"POINT (7.609297097000024 51.940847933000043)",Unfall 96896 (2019) Kat:3, Licht: 2,96896,3,2,6,01,06,2,1,2,0,1,1,0,0,0
"POINT (7.597881321000045 51.978593667000041)",Unfall 97019 (2019) Kat:3, Licht: 2,97019,3,6,1,01,21,1,1,2,0,1,0,0,0,0
"POINT (7.637021114000049 51.950686436000069)",Unfall 97020 (2019) Kat:2, Licht: 0,97020,2,7,0,01,14,1,1,0,0,1,1,0,0,0
"POINT (7.657591821000040 52.043827959000055)",Unfall 97074 (2019) Kat:3, Licht: 0,97074,3,7,9,01,11,7,1,0,0,1,0,0,0,0
"POINT (7.646698889000049 51.963559825000061)",Unfall 97286 (2019) Kat:3, Licht: 2,97286,3,5,1,01,23,4,1,2,1,1,0,0,0,0
"POINT (7.625929598000028 51.955665476000036)",Unfall 97287 (2019) Kat:3, Licht: 0,97287,3,6,5,01,16,4,0,0,1,1,0,0,0,0
"POINT (7.644270011000060 51.953889709000066)",Unfall 97288 (2019) Kat:2, Licht: 0,97288,2,6,3,01,13,4,0,0,0,1,0,0,0,0
"POINT (7.622239004000051 51.893730982000079)",Unfall 97289 (2019) Kat:3, Licht: 1,97289,3,3,5,01,07,4,0,1,1,1,0,0,0,0
"POINT (7.636167932000035 51.972540734000063)",Unfall 97370 (2019) Kat:3, Licht: 2,97370,3,6,1,01,17,3,0,2,0,1,0,0,0,0
"POINT (7.541943416000038 51.990941945000031)",Unfall 97371 (2019) Kat:3, Licht: 0,97371,3,2,2,01,15,3,1,0,0,1,0,0,0,0
"POINT (7.612291473000028 51.993444638000028)",Unfall 97372 (2019) Kat:3, Licht: 0,97372,3,6,2,01,08,3,0,0,0,1,0,0,0,1
"POINT (7.601707500000032 51.965234276000047)",Unfall 97579 (2019) Kat:3, Licht: 0,97579,3,3,5,01,17,1,0,0,0,1,0,0,0,0
"POINT (7.619797595000023 51.954747620000035)",Unfall 97580 (2019) Kat:3, Licht: 0,97580,3,4,6,01,12,1,0,0,0,1,1,0,0,0
"POINT (7.641955242000051 51.896472646000063)",Unfall 97616 (2019) Kat:2, Licht: 2,97616,2,1,9,01,21,7,0,2,0,1,0,0,0,0
"POINT (7.596000364000076 51.941537275000030)",Unfall 97618 (2019) Kat:3, Licht: 0,97618,3,3,5,01,11,7,0,0,1,1,0,0,0,0
"POINT (7.648361092000073 51.992929916000037)",Unfall 97619 (2019) Kat:3, Licht: 0,97619,3,7,0,01,11,7,0,0,0,0,1,0,0,1
"POINT (7.589579454000045 51.928777091000029)",Unfall 97695 (2019) Kat:3, Licht: 0,97695,3,2,5,01,16,6,0,0,1,1,0,0,0,0
"POINT (7.632938276000061 51.908638065000048)",Unfall 97696 (2019) Kat:3, Licht: 0,97696,3,6,2,01,12,6,1,0,0,1,0,0,0,0
"POINT (7.606604994000065 51.973431080000069)",Unfall 97869 (2019) Kat:3, Licht: 0,97869,3,6,2,01,14,5,0,0,0,1,0,0,0,0
"POINT (7.626799533000053 51.931900817000042)",Unfall 97951 (2019) Kat:3, Licht: 2,97951,3,2,6,01,17,1,1,2,0,1,1,0,0,0
"POINT (7.686321298000053 51.928386965000072)",Unfall 97954 (2019) Kat:3, Licht: 2,97954,3,1,8,01,06,4,2,2,0,1,0,0,0,0
"POINT (7.632940883000060 51.908626385000048)",Unfall 97955 (2019) Kat:3, Licht: 0,97955,3,6,1,01,08,4,1,0,0,1,0,0,0,0
"POINT (7.550503441000046 51.977577425000050)",Unfall 98062 (2019) Kat:2, Licht: 0,98062,2,1,8,01,10,4,1,0,0,1,0,0,0,0
"POINT (7.658173013000067 51.975420829000029)",Unfall 98087 (2019) Kat:3, Licht: 0,98087,3,2,5,01,08,3,0,0,1,1,0,0,0,0
"POINT (7.634927428000026 51.959752318000028)",Unfall 98090 (2019) Kat:3, Licht: 0,98090,3,3,5,01,07,3,0,0,1,0,0,0,0,0
"POINT (7.612499117000027 52.048300511000036)",Unfall 98093 (2019) Kat:3, Licht: 2,98093,3,6,2,01,23,7,1,2,0,1,0,0,0,0
"POINT (7.620217148000052 51.935762562000036)",Unfall 98094 (2019) Kat:3, Licht: 0,98094,3,7,2,01,15,7,1,0,0,1,0,0,0,0
"POINT (7.583664651000049 51.926712227000053)",Unfall 98099 (2019) Kat:3, Licht: 0,98099,3,2,3,01,14,3,0,0,1,1,0,0,0,0
"POINT (7.656445164000047 51.954530181000052)",Unfall 98119 (2019) Kat:3, Licht: 0,98119,3,2,5,01,13,6,0,0,1,1,0,0,0,0
"POINT (7.619663543000058 51.957347487000050)",Unfall 98120 (2019) Kat:3, Licht: 2,98120,3,2,4,01,05,6,0,2,0,1,0,0,0,0
"POINT (7.588850119000028 51.965274821000037)",Unfall 98288 (2019) Kat:3, Licht: 0,98288,3,2,5,01,12,3,1,0,1,1,0,0,0,0
"POINT (7.661260360000028 51.967799758000069)",Unfall 98289 (2019) Kat:2, Licht: 2,98289,2,7,0,01,07,3,2,2,1,0,0,0,0,0
"POINT (7.671451583000021 51.950783258000058)",Unfall 98290 (2019) Kat:3, Licht: 2,98290,3,7,0,01,05,3,2,2,1,0,0,0,0,0
"POINT (7.590189830000043 51.973703293000028)",Unfall 98291 (2019) Kat:3, Licht: 2,98291,3,1,0,01,01,3,1,2,1,0,0,0,0,0
"POINT (7.592455323000024 51.930353819000061)",Unfall 98379 (2019) Kat:3, Licht: 2,98379,3,1,9,01,23,5,1,2,0,1,0,0,0,0
"POINT (7.613353042000028 51.997831135000069)",Unfall 98381 (2019) Kat:2, Licht: 2,98381,2,4,6,01,17,5,1,2,0,1,1,0,0,0
"POINT (7.588830097000027 51.965276868000046)",Unfall 98382 (2019) Kat:3, Licht: 2,98382,3,3,2,01,17,5,1,2,1,1,0,0,0,0
"POINT (7.640033825000046 51.948744069000043)",Unfall 98386 (2019) Kat:3, Licht: 0,98386,3,6,2,01,11,5,1,0,0,1,0,0,0,0
"POINT (7.559211351000045 52.031587609000042)",Unfall 98387 (2019) Kat:3, Licht: 0,98387,3,1,8,01,08,5,1,0,0,1,0,0,0,0
"POINT (7.640079808000053 51.900053179000054)",Unfall 98446 (2019) Kat:2, Licht: 0,98446,2,4,6,01,09,2,1,0,0,1,1,0,0,0
"POINT (7.614645972000062 52.002692250000052)",Unfall 98448 (2019) Kat:3, Licht: 2,98448,3,3,5,01,18,2,1,2,1,1,0,0,0,0
"POINT (7.650854984000034 51.901628064000079)",Unfall 98451 (2019) Kat:3, Licht: 2,98451,3,4,6,01,18,2,1,2,0,1,1,0,0,0
"POINT (7.600271859000031 51.934791853000036)",Unfall 98452 (2019) Kat:3, Licht: 0,98452,3,2,5,01,15,2,1,0,1,1,0,0,0,0
"POINT (7.682970438000041 51.914412740000046)",Unfall 98455 (2019) Kat:3, Licht: 0,98455,3,3,5,01,12,2,1,0,0,1,0,0,0,0
"POINT (7.557376726000030 51.921156430000053)",Unfall 98537 (2019) Kat:3, Licht: 0,98537,3,1,9,01,14,5,1,0,0,1,0,0,0,1
"POINT (7.645492999000055 51.962857417000066)",Unfall 98591 (2019) Kat:2, Licht: 2,98591,2,6,3,01,21,4,2,2,1,0,0,0,0,0
"POINT (7.647030866000023 51.963727953000046)",Unfall 98592 (2019) Kat:3, Licht: 0,98592,3,3,5,01,16,4,1,0,1,0,0,0,1,0
"POINT (7.576094002000048 51.872967126000049)",Unfall 98594 (2019) Kat:3, Licht: 0,98594,3,6,2,01,12,2,1,0,0,1,0,0,0,0
"POINT (7.614605889000075 51.974355042000070)",Unfall 98624 (2019) Kat:3, Licht: 0,98624,3,6,2,02,15,2,0,0,0,1,0,0,0,0
"POINT (7.599477795000041 51.932191489000047)",Unfall 98713 (2019) Kat:3, Licht: 1,98713,3,1,8,02,07,2,1,1,0,1,0,0,0,0
"POINT (7.574233290000052 51.889010431000031)",Unfall 98714 (2019) Kat:3, Licht: 2,98714,3,1,8,02,06,2,1,2,0,1,0,0,0,0
"POINT (7.615551381000046 52.014776156000039)",Unfall 98724 (2019) Kat:3, Licht: 2,98724,3,6,4,02,06,4,0,2,0,1,0,0,0,0
"POINT (7.524626191000039 51.963510794000058)",Unfall 98726 (2019) Kat:3, Licht: 2,98726,3,2,5,02,07,4,0,2,0,1,0,1,0,0
"POINT (7.625986342000033 51.954070954000031)",Unfall 98807 (2019) Kat:3, Licht: 1,98807,3,5,1,02,17,7,1,1,1,1,0,0,0,0
"POINT (7.623554810000030 51.974719809000078)",Unfall 98926 (2019) Kat:3, Licht: 0,98926,3,2,5,02,15,3,0,0,1,1,0,0,0,0
"POINT (7.634208004000072 51.959683473000041)",Unfall 98927 (2019) Kat:3, Licht: 0,98927,3,6,1,02,13,3,0,0,1,0,0,0,0,0
"POINT (7.656499453000038 51.954523262000066)",Unfall 98932 (2019) Kat:3, Licht: 0,98932,3,6,2,02,08,6,1,0,0,1,0,0,0,0
"POINT (7.621763644000055 51.993556620000049)",Unfall 98934 (2019) Kat:3, Licht: 2,98934,3,2,2,02,19,6,1,2,0,1,0,0,0,0
"POINT (7.664217061000045 51.990132294000034)",Unfall 98935 (2019) Kat:3, Licht: 0,98935,3,5,3,02,13,6,1,0,0,1,0,0,0,0
"POINT (7.576096250000035 51.877496601000075)",Unfall 99075 (2019) Kat:3, Licht: 1,99075,3,6,2,02,18,3,0,1,0,1,0,0,0,0
"POINT (7.629250413000023 51.944312157000070)",Unfall 99111 (2019) Kat:3, Licht: 0,99111,3,2,5,02,14,7,0,0,1,1,0,0,0,0
"POINT (7.629250641000056 51.944312329000070)",Unfall 99112 (2019) Kat:3, Licht: 0,99112,3,3,0,02,17,7,0,0,1,1,0,0,0,0
"POINT (7.655354147000026 51.996232994000081)",Unfall 99211 (2019) Kat:3, Licht: 0,99211,3,3,5,02,14,3,0,0,0,1,0,0,0,0
