WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (11.063391782000000 49.428181537000000)",Unfall 60729 (2016) Kat:3, Licht: 2,60729,3,2,5,01,19,1,,2,0,1,0,0,0,0
"POINT (11.061599801000000 49.441766477000002)",Unfall 60864 (2016) Kat:3, Licht: 2,60864,3,6,8,01,05,6,,2,0,1,0,0,0,0
"POINT (11.114914806000000 49.435227804000000)",Unfall 60922 (2016) Kat:3, Licht: 2,60922,3,6,3,01,17,7,,2,0,1,0,0,0,0
"POINT (11.123336216000000 49.397996517000003)",Unfall 61052 (2016) Kat:3, Licht: 2,61052,3,2,5,01,18,6,,2,0,1,0,0,0,0
"POINT (11.051423170000000 49.463461756999997)",Unfall 61081 (2016) Kat:3, Licht: 0,61081,3,6,2,01,16,5,,0,0,1,0,0,0,0
"POINT (11.141129733000000 49.462890463000001)",Unfall 61092 (2016) Kat:3, Licht: 2,61092,3,3,6,01,18,2,,2,0,0,1,0,0,1
"POINT (11.121507620999999 49.399450127999998)",Unfall 61139 (2016) Kat:3, Licht: 0,61139,3,6,3,01,07,5,,0,0,1,0,0,0,0
"POINT (11.123415595000001 49.397926552999998)",Unfall 61171 (2016) Kat:3, Licht: 0,61171,3,2,4,01,15,6,,0,0,1,0,1,0,0
"POINT (11.143179524000001 49.463276184000001)",Unfall 61188 (2016) Kat:3, Licht: 0,61188,3,6,3,01,15,3,,0,0,1,0,0,0,0
"POINT (11.040023443999999 49.430745559000002)",Unfall 61230 (2016) Kat:3, Licht: 2,61230,3,6,2,01,17,6,,2,0,1,0,0,0,1
"POINT (11.041511691000000 49.456095560999998)",Unfall 61255 (2016) Kat:3, Licht: 0,61255,3,1,0,01,14,5,,0,0,0,0,0,0,1
"POINT (11.107472810000001 49.418096060000003)",Unfall 61304 (2016) Kat:3, Licht: 0,61304,3,6,3,01,12,3,,0,0,1,0,0,1,0
"POINT (11.064541343000000 49.473731731000001)",Unfall 61371 (2016) Kat:3, Licht: 1,61371,3,2,6,01,08,4,,1,0,1,1,0,0,0
"POINT (10.994317208000000 49.437252764000000)",Unfall 61381 (2016) Kat:3, Licht: 2,61381,3,1,0,01,16,3,,2,1,0,0,0,0,0
"POINT (11.086409958000001 49.429173831000000)",Unfall 61404 (2016) Kat:3, Licht: 0,61404,3,6,2,01,10,2,,0,0,1,0,0,0,1
"POINT (11.051748549999999 49.446365219999997)",Unfall 61435 (2016) Kat:3, Licht: 1,61435,3,6,2,01,07,4,,1,0,1,0,0,0,0
"POINT (11.083293477000000 49.343998014000000)",Unfall 61500 (2016) Kat:1, Licht: 2,61500,1,6,2,01,18,3,,2,0,1,0,0,0,0
"POINT (11.129634890000000 49.433105525000002)",Unfall 61518 (2016) Kat:3, Licht: 2,61518,3,2,5,01,18,3,,2,0,1,0,0,0,0
"POINT (11.036316716000000 49.448679159999998)",Unfall 61539 (2016) Kat:3, Licht: 0,61539,3,3,5,01,16,2,,0,0,1,0,0,0,0
"POINT (11.035628663000001 49.402288663999997)",Unfall 61546 (2016) Kat:2, Licht: 2,61546,2,2,6,01,21,1,,2,0,1,1,0,0,0
"POINT (11.117865742999999 49.438224396999999)",Unfall 61569 (2016) Kat:3, Licht: 2,61569,3,6,2,01,19,7,,2,0,1,0,0,0,0
"POINT (11.120607061999999 49.465304531000001)",Unfall 61572 (2016) Kat:3, Licht: 0,61572,3,7,0,01,15,4,,0,0,0,1,0,0,1
"POINT (11.118399349000001 49.455642421999997)",Unfall 61628 (2016) Kat:3, Licht: 0,61628,3,4,6,01,11,2,,0,0,1,1,0,0,0
"POINT (11.114355835000000 49.392350864000001)",Unfall 61635 (2016) Kat:3, Licht: 0,61635,3,1,9,01,13,3,,0,0,1,0,0,0,0
"POINT (11.038500166000000 49.451760888000003)",Unfall 61719 (2016) Kat:3, Licht: 0,61719,3,6,2,01,15,5,,0,0,1,0,0,0,0
"POINT (11.096233549999999 49.468650656000001)",Unfall 61754 (2016) Kat:3, Licht: 1,61754,3,4,6,01,06,5,,1,0,1,1,0,0,0
"POINT (11.108534882000001 49.459632591999998)",Unfall 61766 (2016) Kat:3, Licht: 0,61766,3,6,2,01,07,5,,0,0,1,0,0,0,0
"POINT (11.042279993999999 49.427055199999998)",Unfall 61771 (2016) Kat:3, Licht: 1,61771,3,6,2,01,15,6,,1,0,1,0,0,0,0
"POINT (11.012563816000000 49.465428240000001)",Unfall 61776 (2016) Kat:3, Licht: 0,61776,3,1,0,01,08,5,,0,0,0,0,1,0,0
"POINT (11.080155733000000 49.413532656000001)",Unfall 61805 (2016) Kat:3, Licht: 0,61805,3,4,6,01,12,5,,0,0,1,1,0,0,0
"POINT (11.098327907000000 49.431313924999998)",Unfall 61877 (2016) Kat:3, Licht: 1,61877,3,3,5,01,07,6,,1,1,1,0,0,0,0
"POINT (11.102948015999999 49.431475294999998)",Unfall 61994 (2016) Kat:3, Licht: 2,61994,3,1,8,01,03,1,,2,0,1,0,0,0,0
"POINT (11.076312434000000 49.430712982999999)",Unfall 62015 (2016) Kat:3, Licht: 0,62015,3,2,5,01,15,3,,0,0,1,0,0,0,1
"POINT (11.064738674000001 49.412643715999998)",Unfall 62021 (2016) Kat:3, Licht: 0,62021,3,1,9,01,14,2,,0,0,1,0,0,0,0
"POINT (11.040921252000000 49.455672049000000)",Unfall 62029 (2016) Kat:3, Licht: 0,62029,3,1,0,01,12,1,,0,1,0,0,0,0,0
"POINT (11.067890070000001 49.469426214000002)",Unfall 62092 (2016) Kat:3, Licht: 0,62092,3,3,4,01,12,2,,0,0,1,0,0,0,0
"POINT (11.186781232000000 49.393140547999998)",Unfall 62190 (2016) Kat:3, Licht: 2,62190,3,6,2,01,17,3,,2,0,1,0,0,0,0
"POINT (11.099865144000001 49.468909672999999)",Unfall 62291 (2016) Kat:3, Licht: 2,62291,3,6,2,01,18,6,,2,0,1,0,0,0,0
"POINT (11.037342604999999 49.450460407000001)",Unfall 62306 (2016) Kat:3, Licht: 2,62306,3,6,2,01,18,2,,2,0,1,0,0,0,0
"POINT (11.086069432000000 49.398828063000003)",Unfall 62316 (2016) Kat:3, Licht: 0,62316,3,6,4,01,13,6,,0,0,1,0,0,0,0
"POINT (11.032543979000000 49.523212328000000)",Unfall 62327 (2016) Kat:2, Licht: 0,62327,2,6,2,01,14,3,,0,0,1,0,0,0,1
"POINT (11.038216554000000 49.423773986000000)",Unfall 62343 (2016) Kat:3, Licht: 0,62343,3,6,2,01,14,6,,0,0,1,0,0,0,0
"POINT (11.070745643000000 49.469492457000001)",Unfall 62394 (2016) Kat:3, Licht: 2,62394,3,6,2,01,06,2,,2,1,1,0,0,0,1
"POINT (11.130217321000000 49.432905007000002)",Unfall 62406 (2016) Kat:3, Licht: 0,62406,3,2,5,01,13,7,,0,0,1,0,0,0,0
"POINT (11.116477613000001 49.435860206999998)",Unfall 62436 (2016) Kat:3, Licht: 1,62436,3,2,6,01,07,6,,1,0,1,1,0,0,0
"POINT (11.035825322999999 49.440252487999999)",Unfall 62472 (2016) Kat:3, Licht: 0,62472,3,6,3,01,16,3,,0,0,1,0,0,0,1
"POINT (11.190754276000000 49.393895980000003)",Unfall 62495 (2016) Kat:3, Licht: 0,62495,3,6,2,01,15,5,,0,0,1,0,0,0,0
"POINT (11.099355232000001 49.468378461999997)",Unfall 62505 (2016) Kat:3, Licht: 2,62505,3,6,2,01,19,6,,2,0,1,0,0,0,1
"POINT (11.122598708000000 49.398335221000004)",Unfall 62537 (2016) Kat:3, Licht: 0,62537,3,6,2,01,13,2,,0,0,1,0,0,1,0
