WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (9.143812388000001 48.754455587999999)",Unfall 22562 (2016) Kat:2, Licht: 2,22562,2,1,9,01,22,3,,2,0,1,0,0,0,0
"POINT (9.181311273000000 48.791950491000001)",Unfall 22604 (2016) Kat:3, Licht: 2,22604,3,6,3,01,18,2,,2,0,1,0,0,0,0
"POINT (9.172121151000001 48.752873274999999)",Unfall 22628 (2016) Kat:3, Licht: 0,22628,3,6,2,01,11,3,,0,0,1,0,0,0,0
"POINT (9.207360960999999 48.803223047000003)",Unfall 22672 (2016) Kat:3, Licht: 2,22672,3,6,2,01,17,7,,2,0,1,0,0,0,1
"POINT (9.212111266999999 48.800460598000001)",Unfall 22695 (2016) Kat:3, Licht: 2,22695,3,6,2,01,06,2,,2,0,1,0,0,1,0
"POINT (9.175091895000000 48.805399319000003)",Unfall 22735 (2016) Kat:3, Licht: 2,22735,3,7,2,01,05,1,,2,0,1,0,0,0,0
"POINT (9.229369341000000 48.785419638999997)",Unfall 22776 (2016) Kat:3, Licht: 2,22776,3,1,8,01,04,3,,2,0,1,0,0,0,0
"POINT (9.174165505000000 48.821347428999999)",Unfall 22791 (2016) Kat:3, Licht: 0,22791,3,6,2,01,15,6,,0,0,1,0,0,0,0
"POINT (9.097543097000001 48.818644726000002)",Unfall 22817 (2016) Kat:3, Licht: 0,22817,3,3,5,01,15,7,,0,0,1,0,0,0,0
"POINT (9.210118995000000 48.805713480999998)",Unfall 22820 (2016) Kat:3, Licht: 2,22820,3,3,0,01,07,2,,2,1,1,0,0,0,0
"POINT (9.173354943000000 48.799705560000000)",Unfall 22886 (2016) Kat:2, Licht: 2,22886,2,4,6,01,19,7,,2,0,1,1,0,0,0
"POINT (9.177702570999999 48.815761576000000)",Unfall 22894 (2016) Kat:3, Licht: 2,22894,3,6,2,01,22,4,,2,0,1,0,1,0,0
"POINT (9.171635364000000 48.775270990000003)",Unfall 22918 (2016) Kat:3, Licht: 2,22918,3,7,2,01,22,1,,2,0,1,0,0,0,0
"POINT (9.131212507000001 48.728477716000000)",Unfall 22919 (2016) Kat:3, Licht: 0,22919,3,7,2,01,16,4,,0,0,1,0,0,0,0
"POINT (9.164107869000000 48.747134895999999)",Unfall 22960 (2016) Kat:3, Licht: 2,22960,3,3,5,01,18,4,,2,0,1,0,0,0,0
"POINT (9.107710761000000 48.739930520000001)",Unfall 22986 (2016) Kat:3, Licht: 0,22986,3,1,9,01,11,6,,0,0,1,0,0,0,0
"POINT (9.215387793000000 48.794782865999998)",Unfall 23044 (2016) Kat:3, Licht: 2,23044,3,6,2,01,00,6,,2,0,1,0,0,0,0
"POINT (9.090435769999999 48.781357651999997)",Unfall 23101 (2016) Kat:3, Licht: 0,23101,3,3,5,01,07,6,,0,0,1,0,0,0,0
"POINT (9.184657549000001 48.808906469999997)",Unfall 23107 (2016) Kat:3, Licht: 2,23107,3,6,2,01,21,5,,2,0,1,0,0,0,0
"POINT (9.180548557000000 48.758327491999999)",Unfall 23130 (2016) Kat:3, Licht: 0,23130,3,1,4,01,14,2,,0,0,1,0,1,0,0
"POINT (9.191958570000001 48.756140008999999)",Unfall 23167 (2016) Kat:3, Licht: 2,23167,3,6,2,01,22,3,,2,1,0,0,0,0,1
"POINT (9.201919479000001 48.795108814000002)",Unfall 23187 (2016) Kat:3, Licht: 0,23187,3,6,2,01,13,6,,0,0,1,0,0,0,0
"POINT (9.178254097000000 48.814924574000003)",Unfall 23192 (2016) Kat:3, Licht: 2,23192,3,6,2,01,20,4,,2,0,1,0,0,0,0
"POINT (9.209149267000001 48.799236774999997)",Unfall 23217 (2016) Kat:3, Licht: 0,23217,3,1,9,01,10,1,,0,0,1,0,0,0,0
"POINT (9.110045828000001 48.729845949999998)",Unfall 23250 (2016) Kat:3, Licht: 0,23250,3,3,5,01,15,6,,0,0,1,0,0,0,0
"POINT (9.203268749999999 48.777420216000003)",Unfall 23257 (2016) Kat:3, Licht: 0,23257,3,2,6,01,09,5,,0,0,1,1,0,0,0
"POINT (9.177402419000000 48.751848604000003)",Unfall 23271 (2016) Kat:3, Licht: 0,23271,3,3,5,01,11,7,,0,0,1,0,0,0,0
"POINT (9.156389584999999 48.847805409999999)",Unfall 23286 (2016) Kat:3, Licht: 0,23286,3,1,1,01,10,1,,0,0,1,0,0,0,0
"POINT (9.146255596000000 48.783671927999997)",Unfall 23321 (2016) Kat:3, Licht: 2,23321,3,6,8,01,18,6,,2,0,1,0,0,0,0
"POINT (9.177715677000000 48.815741590999998)",Unfall 23352 (2016) Kat:3, Licht: 2,23352,3,6,2,01,03,1,,2,0,1,0,0,0,0
"POINT (9.199897453000000 48.744589587999997)",Unfall 23387 (2016) Kat:3, Licht: 0,23387,3,1,2,01,09,6,,0,0,1,0,0,0,1
"POINT (9.180329406000000 48.786120992999997)",Unfall 23393 (2016) Kat:2, Licht: 2,23393,2,4,6,01,07,4,,2,0,0,1,0,0,1
"POINT (9.127713721999999 48.758435450999997)",Unfall 23408 (2016) Kat:3, Licht: 2,23408,3,1,8,01,20,7,,2,0,1,0,0,0,0
"POINT (9.207254767000000 48.801819064000000)",Unfall 23432 (2016) Kat:3, Licht: 0,23432,3,6,2,01,10,5,,0,0,1,0,0,0,0
"POINT (9.186854523999999 48.773459480000000)",Unfall 23436 (2016) Kat:2, Licht: 0,23436,2,6,0,01,14,3,,0,0,1,0,0,0,1
"POINT (9.092215107000000 48.784637525000001)",Unfall 23441 (2016) Kat:3, Licht: 0,23441,3,1,8,01,12,3,,0,0,1,0,0,0,0
"POINT (9.199085039000000 48.761095695000002)",Unfall 23449 (2016) Kat:3, Licht: 0,23449,3,6,2,01,08,3,,0,0,1,0,0,0,0
"POINT (9.147447378000001 48.754672351000004)",Unfall 23453 (2016) Kat:3, Licht: 0,23453,3,6,2,01,15,6,,0,0,1,0,0,0,0
"POINT (9.146152678000000 48.709193059000000)",Unfall 23456 (2016) Kat:3, Licht: 0,23456,3,6,2,01,09,3,,0,0,1,0,0,0,0
"POINT (9.182431900999999 48.798201177000003)",Unfall 23486 (2016) Kat:3, Licht: 2,23486,3,6,2,01,02,1,,2,0,1,0,0,0,0
"POINT (9.215392938999999 48.794777625000002)",Unfall 23489 (2016) Kat:3, Licht: 2,23489,3,6,3,01,20,3,,2,0,1,0,0,1,0
"POINT (9.169565247000000 48.749275935999997)",Unfall 23529 (2016) Kat:3, Licht: 0,23529,3,6,2,01,14,6,,0,0,1,0,0,0,0
"POINT (9.143628646000000 48.834592663999999)",Unfall 23576 (2016) Kat:3, Licht: 2,23576,3,3,5,01,00,2,,2,0,1,0,0,1,0
"POINT (9.153461745000000 48.834251276000003)",Unfall 23599 (2016) Kat:3, Licht: 0,23599,3,6,2,01,15,4,,0,0,1,0,0,0,0
"POINT (9.183090311999999 48.775783003999997)",Unfall 23607 (2016) Kat:3, Licht: 2,23607,3,6,2,01,17,6,,2,0,1,0,0,0,0
"POINT (9.200896716999999 48.794673256999999)",Unfall 23671 (2016) Kat:3, Licht: 0,23671,3,6,2,01,13,4,,0,0,1,0,0,0,0
"POINT (9.192062457000001 48.807225893999998)",Unfall 23676 (2016) Kat:3, Licht: 0,23676,3,3,3,01,08,6,,0,0,1,0,0,0,0
"POINT (9.081881394000000 48.718473783999997)",Unfall 23678 (2016) Kat:3, Licht: 2,23678,3,6,2,01,18,5,,2,0,1,0,0,0,0
"POINT (9.211403847000000 48.804654112000001)",Unfall 23689 (2016) Kat:3, Licht: 2,23689,3,6,2,01,20,5,,2,0,1,0,0,0,0
"POINT (9.091134995999999 48.755539239999997)",Unfall 23755 (2016) Kat:3, Licht: 1,23755,3,6,2,01,07,6,,1,0,1,0,0,0,0
"POINT (9.183590307999999 48.767761907000001)",Unfall 23817 (2016) Kat:3, Licht: 0,23817,3,6,2,01,13,4,,0,0,1,0,0,0,0
"POINT (9.177644237000001 48.815849833000001)",Unfall 23825 (2016) Kat:3, Licht: 2,23825,3,2,2,01,17,6,,2,0,1,1,0,0,0
"POINT (9.203949072000000 48.808153126999997)",Unfall 23837 (2016) Kat:3, Licht: 2,23837,3,1,9,01,23,5,,2,0,1,0,0,0,0
"POINT (9.173383887000000 48.754279462000000)",Unfall 23866 (2016) Kat:3, Licht: 0,23866,3,6,2,01,09,4,,0,0,1,0,0,0,0
"POINT (9.171619137000000 48.767219910999998)",Unfall 23899 (2016) Kat:3, Licht: 2,23899,3,6,2,01,21,5,,2,0,1,0,0,0,0
"POINT (9.085187600999999 48.830176762000001)",Unfall 23908 (2016) Kat:3, Licht: 2,23908,3,6,2,01,07,5,,2,0,1,0,0,0,0
"POINT (9.116433649999999 48.762355141000000)",Unfall 23916 (2016) Kat:3, Licht: 2,23916,3,6,2,01,17,3,,2,0,1,0,0,0,0
"POINT (9.179672904000000 48.761525908000003)",Unfall 23919 (2016) Kat:3, Licht: 2,23919,3,6,2,01,18,6,,2,0,1,0,0,0,0
"POINT (9.144238268000001 48.754526810000002)",Unfall 23925 (2016) Kat:2, Licht: 2,23925,2,1,8,01,23,7,,2,0,1,0,0,0,0
"POINT (9.112510968000001 48.745056597999998)",Unfall 23926 (2016) Kat:3, Licht: 0,23926,3,6,2,01,09,6,,0,0,1,0,0,0,0
"POINT (9.140352339000000 48.710126615999997)",Unfall 23983 (2016) Kat:3, Licht: 2,23983,3,1,9,01,19,3,,2,0,0,0,1,0,0
"POINT (9.213798008000000 48.744027518000003)",Unfall 24003 (2016) Kat:3, Licht: 0,24003,3,2,5,01,15,3,,0,1,1,0,0,0,0
"POINT (9.148129221000000 48.754672632000002)",Unfall 24012 (2016) Kat:3, Licht: 0,24012,3,6,2,01,09,6,,0,0,1,0,0,0,0
"POINT (9.146194048000000 48.783632849999996)",Unfall 24028 (2016) Kat:3, Licht: 0,24028,3,2,2,01,13,2,,0,0,1,0,0,0,0
"POINT (9.232446131000000 48.829819375000000)",Unfall 24031 (2016) Kat:3, Licht: 2,24031,3,4,6,01,07,4,,2,0,1,1,0,0,0
"POINT (9.211958650000000 48.692816331000003)",Unfall 24061 (2016) Kat:3, Licht: 0,24061,3,6,0,01,13,4,,0,0,1,0,0,1,0
"POINT (9.243474778000000 48.790839357999999)",Unfall 24064 (2016) Kat:3, Licht: 1,24064,3,6,2,01,16,5,,1,0,1,0,0,0,0
"POINT (9.187038611000000 48.770493584999997)",Unfall 24066 (2016) Kat:3, Licht: 0,24066,3,6,2,01,15,2,,0,0,1,0,0,0,0
"POINT (9.111898273000000 48.729833331999998)",Unfall 24082 (2016) Kat:3, Licht: 2,24082,3,6,2,01,18,3,,2,0,1,0,0,0,0
"POINT (9.146839367000000 48.766029142999997)",Unfall 24085 (2016) Kat:3, Licht: 2,24085,3,2,0,01,18,6,,2,1,0,0,0,0,1
"POINT (9.208673782000000 48.806434428999999)",Unfall 24092 (2016) Kat:3, Licht: 0,24092,3,6,2,01,15,6,,0,0,1,0,0,0,0
"POINT (9.135469497000001 48.728216979000003)",Unfall 24110 (2016) Kat:3, Licht: 2,24110,3,6,2,01,17,4,,2,0,1,0,0,0,0
"POINT (9.187902951000000 48.782852816999998)",Unfall 24169 (2016) Kat:3, Licht: 2,24169,3,6,2,01,06,5,,2,0,1,0,0,0,0
"POINT (9.200079314000000 48.761759030000000)",Unfall 24177 (2016) Kat:3, Licht: 0,24177,3,2,6,01,07,6,,0,0,1,1,0,0,0
"POINT (9.215795824000001 48.785712470999997)",Unfall 24195 (2016) Kat:3, Licht: 2,24195,3,6,2,01,18,7,,2,0,1,0,0,0,0
"POINT (9.147336695000000 48.728263265000002)",Unfall 24246 (2016) Kat:3, Licht: 2,24246,3,2,5,01,06,3,,2,1,1,0,0,0,0
"POINT (9.166779292999999 48.723777325000000)",Unfall 24254 (2016) Kat:3, Licht: 0,24254,3,2,5,01,15,6,,0,0,1,0,0,0,0
"POINT (9.173231867000000 48.801445106000003)",Unfall 24279 (2016) Kat:3, Licht: 0,24279,3,2,3,02,17,5,,0,1,1,0,0,0,0
"POINT (9.154843413000000 48.769749816999997)",Unfall 24280 (2016) Kat:3, Licht: 0,24280,3,6,3,02,10,2,,0,0,1,0,0,0,0
"POINT (9.117705190000001 48.758332672000002)",Unfall 24301 (2016) Kat:3, Licht: 2,24301,3,1,9,02,00,7,,2,0,1,0,0,0,0
"POINT (9.164500806000000 48.797147088999999)",Unfall 24319 (2016) Kat:2, Licht: 2,24319,2,2,5,02,22,7,,2,0,1,0,0,0,0
"POINT (9.194112837000001 48.768201462999997)",Unfall 24321 (2016) Kat:3, Licht: 0,24321,3,6,2,02,09,5,,0,0,1,0,0,0,0
"POINT (9.209275835000000 48.800081605000003)",Unfall 24326 (2016) Kat:3, Licht: 0,24326,3,6,2,02,14,4,,0,0,1,0,0,0,0
"POINT (9.093758383999999 48.735621940000001)",Unfall 24360 (2016) Kat:3, Licht: 2,24360,3,6,2,02,17,3,,2,0,1,0,0,0,1
"POINT (9.241355794000000 48.755308143000001)",Unfall 24366 (2016) Kat:2, Licht: 0,24366,2,1,8,02,16,5,,0,0,0,0,1,0,0
"POINT (9.144852923000000 48.754400553000004)",Unfall 24367 (2016) Kat:3, Licht: 0,24367,3,3,5,02,13,2,,0,0,1,0,0,0,0
"POINT (9.147298028000000 48.841945610000003)",Unfall 24371 (2016) Kat:3, Licht: 1,24371,3,2,5,02,07,2,,1,1,0,0,1,0,0
"POINT (9.201585621000000 48.794967051000000)",Unfall 24389 (2016) Kat:3, Licht: 2,24389,3,6,2,02,18,7,,2,0,1,0,0,0,0
"POINT (9.254955080000000 48.759630702999999)",Unfall 24399 (2016) Kat:3, Licht: 2,24399,3,2,6,02,17,3,,2,0,1,1,0,0,0
"POINT (9.176301283999999 48.817844545000000)",Unfall 24409 (2016) Kat:3, Licht: 0,24409,3,6,2,02,16,7,,0,0,1,0,0,0,1
"POINT (9.203812046000000 48.778247196999999)",Unfall 24410 (2016) Kat:3, Licht: 1,24410,3,3,5,02,17,5,,1,0,1,0,0,0,0
"POINT (9.164209288000000 48.747038603999997)",Unfall 24415 (2016) Kat:3, Licht: 0,24415,3,6,2,02,07,4,,0,0,1,0,0,0,0
"POINT (9.186903887000000 48.773398540000002)",Unfall 24425 (2016) Kat:3, Licht: 2,24425,3,6,2,02,20,6,,2,0,1,0,0,0,0
"POINT (9.137947660000000 48.778753207999998)",Unfall 24442 (2016) Kat:3, Licht: 0,24442,3,6,2,02,09,2,,0,0,1,0,0,0,0
"POINT (9.136709263000000 48.775421199999997)",Unfall 24460 (2016) Kat:3, Licht: 0,24460,3,6,4,02,12,5,,0,0,0,0,0,1,1
"POINT (9.177291951000001 48.807505620000001)",Unfall 24465 (2016) Kat:3, Licht: 0,24465,3,1,0,02,12,3,,0,0,0,0,1,0,0
"POINT (9.163941578999999 48.712208779999997)",Unfall 24496 (2016) Kat:3, Licht: 2,24496,3,6,2,02,17,5,,2,0,1,0,0,0,0
"POINT (9.193853652000000 48.779353051000001)",Unfall 24504 (2016) Kat:3, Licht: 0,24504,3,6,2,02,07,5,,0,0,1,0,0,0,0
