WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.176252519000059 51.278178676000039)",Unfall 95824 (2019) Kat:3, Licht: 2,95824,3,1,8,01,01,3,1,2,0,1,0,0,0,0
"POINT (7.154129939000029 51.258197546000076)",Unfall 96165 (2019) Kat:3, Licht: 1,96165,3,2,5,01,07,6,1,1,1,0,0,0,1,0
"POINT (7.092419391000021 51.234283403000063)",Unfall 96210 (2019) Kat:3, Licht: 0,96210,3,1,9,01,09,6,1,0,0,1,0,0,0,0
"POINT (7.090955841000039 51.256160337000040)",Unfall 96399 (2019) Kat:3, Licht: 2,96399,3,2,6,01,08,3,1,2,0,1,1,0,0,0
"POINT (7.152103317000069 51.222295442000075)",Unfall 96400 (2019) Kat:3, Licht: 2,96400,3,2,4,01,07,3,1,2,0,1,0,1,0,0
"POINT (7.182652867000058 51.279025023000031)",Unfall 96516 (2019) Kat:3, Licht: 2,96516,3,6,2,01,08,2,1,2,0,1,0,0,0,0
"POINT (7.214501012000028 51.282797789000028)",Unfall 96517 (2019) Kat:3, Licht: 0,96517,3,4,6,01,12,2,1,0,0,1,1,0,0,0
"POINT (7.144965405000050 51.253293177000046)",Unfall 96518 (2019) Kat:3, Licht: 0,96518,3,6,2,01,13,2,1,0,0,1,0,0,0,0
"POINT (7.091011159000061 51.256143504000079)",Unfall 96674 (2019) Kat:3, Licht: 2,96674,3,6,2,01,18,6,1,2,0,1,0,0,0,0
"POINT (7.090924997000059 51.256169722000038)",Unfall 96774 (2019) Kat:2, Licht: 2,96774,2,3,5,01,23,5,1,2,0,1,0,0,0,0
"POINT (7.145742369000061 51.239501705000066)",Unfall 96775 (2019) Kat:3, Licht: 2,96775,3,7,4,01,18,5,0,2,0,1,0,0,0,0
"POINT (7.130998052000052 51.264681311000061)",Unfall 96776 (2019) Kat:3, Licht: 0,96776,3,6,1,01,10,5,0,0,0,1,0,0,0,0
"POINT (7.192374113000028 51.250479742000039)",Unfall 96882 (2019) Kat:2, Licht: 0,96882,2,4,8,01,14,4,1,0,0,1,1,0,0,0
"POINT (7.187506137000071 51.266218654000056)",Unfall 96959 (2019) Kat:3, Licht: 0,96959,3,4,0,01,09,2,1,0,0,0,1,1,0,0
"POINT (7.155783828000040 51.257831151000062)",Unfall 96960 (2019) Kat:3, Licht: 0,96960,3,2,3,01,11,2,1,0,0,1,0,1,0,0
"POINT (7.190966153000034 51.284907674000067)",Unfall 97013 (2019) Kat:3, Licht: 2,97013,3,6,2,01,05,2,1,2,0,1,0,0,0,0
"POINT (7.206850666000037 51.273096393000060)",Unfall 97042 (2019) Kat:3, Licht: 2,97042,3,6,1,01,17,1,1,2,0,1,0,0,0,0
"POINT (7.223043890000042 51.275455448000059)",Unfall 97108 (2019) Kat:2, Licht: 2,97108,2,2,5,01,17,7,1,2,1,1,0,0,0,0
"POINT (7.126044835000073 51.286232842000061)",Unfall 97109 (2019) Kat:3, Licht: 0,97109,3,1,8,01,09,7,1,0,0,1,0,0,0,0
"POINT (7.119821858000023 51.281165960000067)",Unfall 97226 (2019) Kat:3, Licht: 2,97226,3,6,2,01,07,5,1,2,0,1,0,0,0,0
"POINT (7.136102404000042 51.251652066000077)",Unfall 97227 (2019) Kat:3, Licht: 2,97227,3,6,0,01,20,5,1,2,0,1,0,1,0,0
"POINT (7.069732763000047 51.221329732000072)",Unfall 97274 (2019) Kat:3, Licht: 0,97274,3,6,2,01,15,5,0,0,0,1,0,0,0,0
"POINT (7.182698146000064 51.280464009000070)",Unfall 97318 (2019) Kat:3, Licht: 0,97318,3,6,2,01,09,4,0,0,0,1,0,0,0,0
"POINT (7.202005866000036 51.295245961000035)",Unfall 97535 (2019) Kat:3, Licht: 2,97535,3,4,6,01,07,2,0,2,0,1,1,0,0,0
"POINT (7.173295341000028 51.284006175000059)",Unfall 97536 (2019) Kat:3, Licht: 0,97536,3,6,1,01,15,2,0,0,0,1,0,0,0,0
"POINT (7.200053161000028 51.266440794000061)",Unfall 97725 (2019) Kat:2, Licht: 0,97725,2,4,6,01,16,3,0,0,0,1,1,0,0,0
"POINT (7.197180397000068 51.237594501000046)",Unfall 97728 (2019) Kat:3, Licht: 2,97728,3,6,2,01,17,3,0,2,0,1,0,0,0,0
"POINT (7.091683079000063 51.256012672000054)",Unfall 97760 (2019) Kat:3, Licht: 2,97760,3,4,6,01,20,6,0,2,0,1,1,0,0,0
"POINT (7.104567393000025 51.253575709000074)",Unfall 97763 (2019) Kat:3, Licht: 0,97763,3,4,6,01,16,6,0,0,0,1,1,0,0,0
"POINT (7.180421006000074 51.267779947000065)",Unfall 97818 (2019) Kat:3, Licht: 2,97818,3,2,6,01,20,6,1,2,0,1,1,0,0,0
"POINT (7.168487377000076 51.280324948000043)",Unfall 97819 (2019) Kat:3, Licht: 2,97819,3,7,6,01,18,6,1,2,0,0,1,1,0,0
"POINT (7.186344070000075 51.291750630000081)",Unfall 97820 (2019) Kat:3, Licht: 0,97820,3,3,2,01,15,6,1,0,0,1,0,0,0,0
"POINT (7.196957159000021 51.269507939000050)",Unfall 97894 (2019) Kat:3, Licht: 0,97894,3,6,1,01,12,5,1,0,0,1,0,0,0,0
"POINT (7.142061337000030 51.250552244000062)",Unfall 97895 (2019) Kat:3, Licht: 2,97895,3,4,6,01,07,5,0,2,0,1,1,0,0,0
"POINT (7.107151410000029 51.252856146000056)",Unfall 97929 (2019) Kat:3, Licht: 1,97929,3,6,2,01,07,5,0,1,0,1,0,0,0,0
